Place,Details,Class,WordCount
Hangang Bridge,"A modern bridge on the Han River, it is a bridge connecting Hanjiang Road, Yongshan District and Bendong, Dongjak District, with a width of 36.8 meters and a length of 1005 meters. It is an earlier bridge across the Han River on the Han River Island. It used to be called Hanjiang Highway Bridge before, but on November 7, 1984, the bridge name was changed to Hanjiang Bridge in order to be consistent with the road name Hanjiang Road.",None Related,79
Seoul Sky Observatory,"SeoulSky Observatory, 500M, as the highest place in Korea, can have a 360-degree panoramic view of Seoul, the capital of Korea's splendid history and vibrant and modern culture.",None Related,28
Seoul City Hall,"While touring South Korea, you must go to the tourist information center located in the beautiful Seoul City Hall for all of your travel information necessities. Containing many of South Korea's premiere businesses, visitors have access to any modern amenity they require, including banking and health care information. In the center of Seoul, the City Hall is an ideal example of modern technology and architecture. The Seoul City Hall, originally built in 1926, is redesigned and reformed to attend to a bustling metropolis of business enterprise and tourism. The Seoul City Hall is surrounded by hundreds of little shops and restaurants.",None Related,101
Banpo Hangang Park,"Banpo Hangang Park is centered on the Banpo Bridge and is located on the south bank of the Han River. There are water courts, football fields, basketball courts and other sports facilities here. It is a civic park. When you climb up to the viewing platform of Caixia Cafe on the south side of the Tongjak Bridge, you can have a panoramic view of the beautiful river scenery and the row upon row of buildings. In particular, the Moonlight Rainbow Fountain located on both sides of the Han River Park Bridge in Banpo has a total length of 1,140 meters. The length of the bridge fountain was recorded in the Guinness Book of World Records in 2008. At night, the water spray from the fountain is as beautiful as a seven-color rainbow under the illumination of more than 200 lights. Banpo Island, which is connected to Banpo Hangang Park, is located between Banpo Bridge and Dongjak Bridge, and there is a space for rest and entertainment. Every spring, this place becomes a world of golden rapeseed flowers, and the ""Banpo to Butterfly and Rapeseed Flower Festival"" held as an opportunity attracts a large number of tourists and citizens to come and relax. In addition, there are many places to experience such as ecological learning ground, boat yard, bicycle path, etc. in Banpo Hangang Park.",None Related,224
YG Entertainment,"YG Entertainment is one of the largest entertainment brokerage companies in Korea and the entertainment company with many HipHop singers in Korea. It was founded in 1996 by Yang Hyun Suk, one of the members of the disbanded 90s popular group ""Seo Taiji and the Children"". . As of 2017, its representative artists include PSY (Uncle Bird), BIGBANG, 2NE1, WINNER, EpikHigh, iKON, BLACKPINK, Crystal Boy, Lee Jong Suk, Goo Hye Sun, Lee Ha Yi, Music Tong Musician, Nam Joo Hyuk, Lee Sung Kyung, etc. .",None Related,85
Olympic Park,"The Olympic Park not only has six outdoor sports venues used during the 24th Olympic Games, but also a multi-functional park with strong cultural atmosphere, with a total area of about 1.67 million square meters. The competition field of the park is surrounded by fountains and small lakes, as well as a large lawn where folk performances can be performed. More than 200 sculptures are displayed in the lawn area. These sculptures were donated by 67 artists who participated in the International Field Sculpture Exhibition in commemoration of the 24th Olympic Games, especially the ""Thumb"" by Seigale (France) and the ""Flowing"" by Bioli (Belgium). Fountain"" is striking. The park also houses the Olympic Cultural Center, which integrates education and entertainment. The center consists of two exhibition halls, space science and dinosaurs. There are replicas of various space exploration equipment and lunar rock specimens in the Space Hall, as well as the space suits of American and former Soviet astronauts; the Dinosaur Hall has 27 dynamic or static dinosaur models. Mongchon Doseong Fortress in the Olympic Park is designated as Historic Site No. 297. It is a natural hill wall built by the ancient Baekje Kingdom to prevent external attacks by taking advantage of the natural terrain.",None Related,206
Starfield COEX Mall,"COEXMALL is a large entertainment shopping center in Seoul. It covers an area of nearly 120,000 square meters and has more than 250 large-scale business units. It has been regarded as the amusement place in Seoul since its opening. There are various shopping places in COEXMALL, such as movie theaters, bookstores, audio-visual stores, large aquariums, etc. There are all kinds of delicious, beautiful and fun things.",None Related,66
Seoul Grand Park,"Seoul Grand Park is a good place for family outings. It has a very large area, a large zoo, and a lot of things to play. Children will be very happy to go there. In recent years, more and more couples often go on dates, because the quiet and natural atmosphere will give people a good feeling, like one.",None Related,59
Coconut Box,"This is a Museum with the theme of love and sex. It consists of six themed galleries, including high-quality works such as shunga art from the Joseon period, famous Western paintings, as well as modern paintings and sculptures. Not only can you enjoy the works in the museum, but also have touchable sculptures and sexy illusion T-shirts, etc. that allow visitors to experience in different ways.",None Related,66
Sealala Water Park,"The Sealala Water Park, located in the LOOX store in Pomunnae-dong, Yongdeung, Seoul, is the largest water park in Seoul. It has various water facilities and is built with the concept of the Greek island of Santorini, full of romance. Playing in the water here is like playing and resting on the vast Mediterranean Sea, and you can enjoy a beautiful and happy time. The park has a variety of themed swimming pools such as flowing pools, beach pools, and children's pools. In addition, there are floral baths such as lavender, cherry blossoms, mint, and roses, and healthy baths that use charcoal, bath salts, loess, and other materials that are beneficial to the body are prepared for customers. It is a good place to relax in the center of Seoul.",None Related,130
Korea House,"Korea House is located on Chungmu-ro, adjacent to Namsangol Hanok Village and Myeongdong. It was originally just a traditional Hanok. In 2009, Juxian Hall was expanded and other renovations were made, and later it became a multicultural facility with richer content. At Korea House, you can taste Korean traditional cuisine, enjoy traditional performances, experience traditional weddings and other cultures",None Related,59
Naksan Park,"Luoshan Park was opened in 2002 and is named after the shape of the mountain that resembles a camel. The park is located in the center of the city and is also a historical site. You can climb up to watch the sunset and overlook the city of Seoul. This is the filming location of many Korean dramas and is now a dating venue for couples. Luoshan is composed entirely of granite rocks and is more than 100 meters above sea level, so it is called ""Montmartre of Seoul"". Admire the night view of Naksan Park, you can enjoy the beautiful scenery of Seoul, and you can witness it with your own eyes at the amusement plaza on the top of the mountain. The public facilities in the park are well done, with walking paths up the mountain and railings for isolation. Whenever the night falls, many lovers will come to watch the night scene, the stars are bright and very romantic, especially the atmosphere to express their love. On the way to Luoshan Park, you can enjoy the ""Road Art Museum"" in Lihuadong. Here are some houses that have been preserved before. After the transformation of the artists, they have become vivid murals. There are Q versions. Scenes such as the Avengers, the Goldfish Staircase, and the mural stairs where the prince once came in ""The Prince of the Tower House"". Undoubtedly, it has become a popular photo spot for tourists. Another feature of the historical site Naksan Park is the fortress designated as the No. 10 historical site. The castle stretches from the east gate to the Huihua gate, and the neon lights are bright and dreamy at night. Facing the play square, if you walk along the castle on the right, you can also reach a good place to enjoy the night view of Dongdaemun.",None Related,308
Cheongdam-dong,"Cheongdam-dong is home to countless rich people, businessmen and movie stars. The combination of fashion and wealth has made Cheongdam-dong a prime real estate location in Seoul and even South Korea. And the quality of the goods here is guaranteed, and it occupies the vanguard of fashion trends. Not a single street vendor or roadside stall can be seen in this place. The overall price of the goods is high, but the style is novel and the design is fashionable, which is favored by consumers. Apgujeong is mainly for the trend of young people in their 20s, while Cheongdam-dong is suitable for consumers in their 30s and 40s. There are many brand specialty stores on the street from the Cheongdam Station intersection to the Galleria department store. This is the main shopping location for fashionistas, and it is also a fashion district in Korea, officially named as Cheongdam Famous Street.",None Related,150
Heunginjimun,"The ""Great East Gate"" of the medieval walled city of Seoul, Dongdaemun today is best known as a extensive, all-hours fashion market, where shopping for a blazer at 3am can be done with ease, whether in large department stores or in street stalls lining the pavement. The site of Zaha Hadid's Dongdaemun History and Culture Park, it's also one of the ideal places to view Seoul's aspirations to architectural cutting-edgeness.",None Related,70
The National Folk Museum of Korea,"The National Folk Museum in Gyeongbokgung Palace showcases the traditional Korean way of life, and understands and experiences the traditional life and culture of the Korean people through various historical relics. It consists of three permanent exhibitions, ""Korean People's Life History Museum"", ""Korean People's Daily Life"" and ""Korean People's Life"", as well as planned exhibitions and outdoor exhibitions. You can rent a Chinese audio guide machine at the information desk at the entrance. The rental fee is 1,000 won, but you need to show your passport. In addition, the staff who are resident in Chinese here, if you have any questions that you do not understand, you can consult the information desk. At 10:00 and 15:00, a Chinese-speaking guide will be arranged for Chinese-speaking explanations. The composition of the museum The museum consists of one basement floor, four floors above ground and the top floor. The first basement is the water slurry warehouse for data storage, the first floor is the central hall, three permanent exhibition halls and lecture halls, the second floor is the administrative office, and the third floor is the reading room. The central hall on the first floor holds special exhibitions of traditional culture and folk customs all year round. The first visit is the first exhibition hall, the Korean Nationality Life History Museum. Here, it focuses on displaying life history materials related to the history and culture of the Korean nation from prehistoric times to modern times. You can see the Yangbu sundial of the Joseon era, the old and new astronomical charts, the white porcelain utensils used by people at that time, and the life of Koreans in the 1970s and 1980s. The first exhibition hall In the first exhibition hall, there is also a display that can spell Korean, and there are Chinese prompts. After spelling a few Korean characters, the display will automatically read it out for you. If you choose a Chinese word, it will be translated and sounded for you, and you can experience the fun of Korean here. The second exhibition hall is followed by the second exhibition hall, with the theme of ""Korean people's daily life"". It shows the daily life of the people of Joseon Dynasty who made a living by farming as the seasons change throughout the year. You can see farming, fishing and hunting scenes as well as clothing, houses, handicrafts, decorations, bowls, kimchi and sauce jars, etc. In addition to showing people's life in the order of spring, summer, autumn and winter, you can also see materials that can understand the scene of the market and village at that time. The third exhibition hall The third exhibition hall is the Korean life exhibition hall, which shows the life of Koreans at various stages such as birth, coming-of-age ceremonies, weddings, and sacrifices. The content about business practices and folk beliefs is very striking. In addition to the permanent exhibition, there are also planned exhibitions, and some special exhibitions are held every 1-2 months. For specific exhibition information, please refer to the official website. Outdoor exhibition area At the same time, the front yard of the National Folk Museum is also an outdoor exhibition area. The theme of the exhibition is traditional Korean rural culture. The exhibits include longevity pillars, stone pagodas, bird poles and reflection Folk life stone mill, melon shed, barn, kimchi cellar, etc. In addition, there are replicas of the Cheonggyecheon water level gauge in the past in Seoul, twelve bronze statues of the zodiac with the heads of animals, and a stone grandpa unique to Jeju Island. These exhibits have attracted the footsteps of countless visitors, and you can take pictures here. Folklore Experience Activities The museum also regularly holds some folklore experience activities for group tourists, such as trying on Hanbok, making folk crafts, learning Korean traditional dances and games, etc. Children can also go to the Children's Museum in the museum to experience some activities for children. In addition, there are other convenient facilities, such as an information retrieval room where computers can be used, a lounge with vending machines, a museum shop where you can buy various souvenirs, a café, an auditorium, and a video hall. When the weather is good, there is a big lawn in front of the museum, and many tourists are sunbathing on it, which is very comfortable. Exhibition Interpretation The National Folk Museum provides professional interpreters with exhibition interpreters in order to help people understand folk culture in detail through the relics of life.",None Related,750
Seoul Children's Grand Park,"This very large children's park includes a zoo, a botanical garden, a marine animal house, a small animal village, an amusement park, outdoor concert stages, sports facilities and even a parrot village. The 530,000-square-meter park which opened on Korea's Children's Day holiday in 1973, is often the site of school visits and family picnics. Main features of the park include the Music Fountain, which displays a colorful water show, and the Water Playground, which provides a cool and fun place to chill out in the city. Thrill seekers will appreciate the amusement park, iLand.",None Related,94
Leeum Museum of Art,"This two-part museum contains both traditional Korean art and contemporary pieces. The two museums were designed by different European architects in the 1990s. Museum 1 contains traditional Korean art, including 36 pieces designated national treasures. Those include ancient daggers, folk paintings, porcelain pieces and manuscripts. Museum 2 features modern and contemporary art from Korean and international artists, including Andy Warhol, Rothko and Damien Hirst. The complex also contains the Samsung Child Education and Culture Center, an interactive museum for children.",None Related,80
Hongdae Free Market,"Hongdae Free Market is located in a children's park near Hongik University. Dozens of stalls gather here every weekend. It is a well-known flea market in Seoul. Young Korean artists display and sell their works here, and it is also a treasure place for citizens to find unique and creative daily necessities and gadgets. From hand-made diaries, fun dolls to cute hair accessories and more, it is full of fashionable design elements. It is a creative market that should not be missed when shopping near Hongdae on weekends. In addition, in the park, there are often wonderful impromptu street performances.",None Related,100
Eland Cruise,"The cruise on the Han River, which moves slowly along the water, provides a space for citizens who are disturbed by noise and air pollution in the noisy city to breathe fresh air, rest and entertain. At present, there are 6 cruise boats for tourists to ride on the Han River from Yanghwa to Jamsil. The places that can be reached by cruise ship include Yeouido, Jamsil, Gyeongdo, Yanghwa, Lanji, Seoul Forest, Jamdubong Pier, etc., and they can be roughly divided into two types according to the route of operation. One is a circular route that detours around the pier and then returns to the original pier, and the other is a one-way route, either starting from Yeouido and arriving at Jamsil via Bongdo; or starting from Jamsil and passing through Bongsil The island arrives at Yeouido. During the cruise, you can have a panoramic view of the scenery around the Han River, including the famous places such as Yuri Island, Cheildusan Park, 63 Building, Seoul N Namsan Tower, and Jamsil Sports Arena. And, when the boat passes through these attractions, the docent will give an introduction and commentary.",None Related,189
Deoksugung Palace,"Deoksugung Palace is located in Seoul, South Korea. It is one of the five grand palaces built by the kings of the Joseon dynasty. Built in the 15th century, the palace was inhabited by members of the Korean royal family all through the reign of Joseaon kings. Unfortunately, the Japanese destroyed most of the palatial complex when they invaded and colonized the Korean kingdom in the early years of the 20th century. But the government of Korea has restored the remaining buildings and now at least a third of the original structures retain their original splendor. The magnificent palace provides a glimpse of the lavish lifestyles of the royalty. The interiors of the palace are grand with whimsical stone sculptures dotting the landscape. Those interested in ceremonious display of pomp and grandeur can enjoy the changing of the guards ceremony held every weekend between 2:00 and 3:30 in the noon.",None Related,150
Dongdaemun History & Culture Park,"Dongdaemun History and Culture Park is a complex cultural space that perfectly combines traditional buildings, relics, relics and cutting-edge modern facilities. It is located in Dongdaemun, known as the fashion vane of Korea. It is open to the public 24 hours a day, and the exhibition halls and parks in the park are all free. In fact, Dongdaemun History and Culture Park is a general term for an entire area. It is a collective name for facilities such as Seoul Fortress, Erjian Water Gate, Dongdaemun History Museum, Dongdaemun Relic Exhibition Hall, Dongdaemun Stadium Memorial Hall, Event Hall, and Design Gallery. In order to commemorate the Dongdaemun Stadium, the two lighting towers and the holy fire platform that were used in the night competition have been preserved here. At present, it is not only a theme park where you can learn about the history and culture of Seoul, but also a modern exhibition hall with both design and cultural heritage. It is also a good place for Seoul citizens to relax and entertain.",None Related,172
Myeong Dong Cathedral,"Myeongdong Cathedral was built in 1898. It is a Gothic building with tall domes and stained glass windows, which is very beautiful.",None Related,22
National Museum of Korea,"The museum has more than 200,000 rare items in its collection, covering archaeology, history, fine arts and other fields. In addition to the permanent exhibition hall displaying Asian-related cultural heritage, the museum also has a planning exhibition hall, a children's museum, and an open-air exhibition hall. While holding domestic and foreign exhibitions in the museum, it also pays attention to collecting and preserving various relics, conducting surveys and researches, distributing academic materials and providing international cultural exchange activities. The museum is not only a base for education, but also a cultural space for environmental protection.",None Related,95
Alive Museum,"Ailai Moxiang 4D Art Museum is a group of 4D art exhibition halls in South Korea, and the main hall in Insadong is one of them. Covering an area of 3,300 square meters, the museum is currently the largest 4D experience museum in Korea and the filming location of the Korean drama ""I'm Fascinated by You"". The venue consists of Hall 1 (World Fantasy Shuttle Box), Hall 2 (Dino Paradise) and Sweet Bean Cafe. The display content includes 3D art, media art and physical art works, beyond imagination, bringing you an unparalleled 4D new experience, especially suitable for taking pictures. Hall 1 (World Fantasy Shuttle Box) In Hall 1, you can see the physical art that displays three-dimensional paintings and sculptures through special arrangements and decorations. If you discover the mechanisms and mysteries, you can integrate with the paintings to become a The protagonist of the work. The representative of the first hall is the ""World Fantasy Shuttle Box"" that allows everyone to experience the fun of adventure through changes in lighting and space. The second hall (Dino Paradise) is located in the second hall on the second basement floor. There are magical ET and cute Dino waiting for you to play together. The cute and fun Dyno theme area allows you to regain the joy of childhood and be as carefree as a child. More sexy real Marilyn Monroe is looking forward to meeting you in a beautiful white dress. After viewing the Ai Lai Moxiang Art Museum, you can taste the fragrant red bean bread, coffee and red bean smoothie in the sweet bean shop full of red bean aroma.",None Related,272
Haneul Park,"""Sky Park"" is located in the World Cup Park. It is a grass park in the second construction site of Lanzhi Island. It used to be an area with poor soil on Lanzhi Island. Sky Park is famous for its 291 steps, from which you can overlook the panoramic view of Seoul. Boundless Grass Sky Park is characterized by a vast expanse of grass. The ridge line made for the convenience of drainage is the boundary line, and it is divided into 4 areas according to the X-shape. The taller grass is planted on the north and south sides, and the short grass is planted on the east and west sides. In the north of the tall grasslands, there are purple awns. In the rippling purple awn group, citizens can feel the nature. In the low grasslands, there are native varieties such as large thistle, violet and bitterweed, and naturalized varieties such as white alfalfa. Among them, white alfalfa can help other plants grow and promote soil decomposition, which is a very suitable plant for places like Laneige Island. Since 2,000 years ago, more than 30,000 butterflies, including yellow butterflies, blue swallowtail butterflies, nymph butterflies, and golden swallowtail butterflies, have been released on Lanzhi Island with Sky Park as the center. In spring and early summer, butterflies flying in the sky help pollinate plants, which has greatly contributed to the stability of the plant ecosystem in Laneige Island. Another feature of walking up the stairs and looking at Yuanjing Sky Park is that there will be 219 steps along the road, and each step is marked with numbers. Walking up the steps is like walking towards the sky step by step, standing in the Sky Park on Lanzhi Island. From here, the scenery of Seoul catches your eye at a glance, with Bukhan Mountain in the north, Namsan Mountain and 63 Building in the east gate, Han River in the south, and Lucky State Mountain Fortress in the west. In order to take full advantage of such excellent viewing conditions, there is an observation deck on the inclined surface, so that visitors can rest at any time. The bushes outside the park are 1~1.5m higher than the grass, and many large trees like oaks are planted to allow visitors to rest in the shade.",None Related,384
Changdeokgung,"Changde Palace is located in Wolong Cave, Zhonglu Area and is divided into a public space (belonging to the palace area) and a royal living space (belonging to the royal palace area). Changde Palace is a palace that has maintained the orthodox palace architecture of the Joseon Dynasty. The rear courtyard is the king's resting place. There are centuries-old trees, ponds, pavilions and other facilities that blend harmoniously with nature.",None Related,70
Yeouido,"Yeouido is a small island located on the Han River in South, Korea. It is also the headquarters of MBC and KBS. When the cherry blossoms bloom in spring every year, Yeouido becomes the flower garden in Seoul. The 6-kilometer-long round road on the island of Yeouido, guarded by blooming cherry blossoms on both sides forming a long, long circular tunner, is the famous “Sakura Avenue”.",None Related,66
Namsangol Hanok Village,"The Namsangol Hanok Village is home to five selected Joseon-era Hanok houses in Seoul. At the entrance of the Village, a pond named ""Cheonghakji"" was specially built to present the Namsan gol in the past. Namsangol Hanok Village includes both the mansions of literatis and the civilian residences, reflecting the residential culture of various social classes in the Joseon era. You can experience traditional weddings and traditional Korean cultural activities in the Hanok’s courtyard.",None Related,74
Gwanghwamun Square,"Gwanghwamun Square, located in Jongno District, connects Jongno Crossroads and Cheonggye Square. The central square is 550 meters long and 34 meters wide. It is backed by the beautiful and majestic Bukhan Mountain and Gyeongbokgung Palace, a complex of ancient buildings. The transportation hub has gradually evolved into a center of rest and entertainment for citizens, and it also attracts tourists from all over the world.",None Related,66
Ihwa Mural Village,"Lihua Village is located in a small village on the east side of Luoshan Park. Artists have painted various patterns on the steps and walls, including the Q version of Avengers, the stairs of flowers, etc. The mural village used to be a poor village. Later, the city government found it. Dozens of artists came to paint the place. ""The Prince of the Tower House"" was filmed here. Lihua Village is not big, and all the time is basically spent on climbing and taking pictures, because every place is a little surprise. First of all, you will see a mural of blue sky and white clouds with birds. Walk along the steps and you will see a small dessert shop. Because of the increasing number of Chinese tourists, the menu in the shop also has Chinese names, so don’t worry. When it comes to ordering food, after climbing the steps, you will see many small shops full of Korean flavor. At this time, you will see the very landmark carp steps, so be sure to take a photo here. Carp Steps and Angel Wings Mural On the right side of the Carp Steps, you can walk a few steps straight to the famous Carp Steps. That's right, this is the location where the ""Prince"" and Park Ha were filmed in the prince's house in the house. If you go with your boyfriend, just follow the TV series. Take a photo of the pose inside. The two main fresco steps are filled with large and small frescoes, including the angel wings fresco that everyone will be looking for. In addition to the murals of these scenic spots, there are many small surprises, such as creative 3D murals, handsome men murals that make boyfriends jealous, and creative life murals with original water pipes and wires attached. Keep walking along the north of Mural Village, you will see the bronze sculpture of ""Men and Women"", next to the entrance of Luoshan Park. Because Luoshan Park is relatively large, if you still have physical strength, you can go to see it, you don't need to finish all the turns. Go down the mountain. In the future, you can go to Daxue Road for dinner, and it is a feature to enter any house. If you like this kind of small and fresh style village, bring your camera and go.",None Related,395
Dragon Hill Spa,"Perhaps the  known of Seoul's public baths (known as jjimjilbang), Dragon Hill has earned its reputation by being anglophone and foreigner-friendly. Its location directly beside Yongsan Station and the famous electronics market has helped as well, leading to big crowds in the baths on weekends.",None Related,45
Sinsa-dong,"From Sinsa Station on the subway to Apgujeong, it is less than 1 km. The street full of ginkgo trees is the tree-lined road of Sinsa-dong. Sinsa-dong Boulevard is as fresh and natural as its name. There is no hustle and bustle of the city and the pressure of work. You can experience another fresh and capable atmosphere when you are in the boulevard. Xinshadong Linyin Road is a must-see for young literary and artistic people. There are tall and straight ginkgo trees on both sides of the road. In spring and autumn, the golden ginkgo leaves bring endless charm to people. Delicate and unique French-style buildings on both sides of the road, artistic coffee shops, accompanied by the smell of fragrant coffee, add a bit of exotic flavor. At night, under the shroud of soft lights, the tree-lined road is another mysterious beauty, so it attracts a large number of tourists, and even domestic and foreign models come to this street to shoot. Sinsa-dong Boulevard, also known as ""Art Street"", was once famous for galleries and established its cultural heritage. Since then, fashion designers and artists who have returned from overseas have more and more individual fashion stores and boutique stores, such as photography studios, coffee shops, bars, galleries, comprehensive fashion stores, boutiques, jewelry stores, etc. A bustling commercial street. Walking on the tree-lined road, each building shows its unique temperament, which can always bring people a fresh and elegant feeling. What is commendable on the boulevard is the cafes all over the place, with unique shapes and unique decorations, which have become a good place for people to talk, listen to music and rest. Sit in the elegant cafe, order a cup of coffee, smell the strong aroma of coffee, then close your eyes, take a sip, and feel the aroma and deliciousness of coffee, especially in the fresh and natural environment of the tree-lined tree road down, the mood will be more comfortable.",None Related,326
Yeouido Hangang Park,"Hangang Citizens Park is located along the Hangang River, which runs through Seoul, and is a place where citizens often gather to rest. With a total area of 2.1 million square meters, it has various sports facilities and rest facilities. Every day, many people jog or walk along the trails in the Hanjiang People's Park, as well as roller coasters or bike rides.",None Related,63
Namsan Cable Car,"The Nanshan cable car is constructed from jumbo sized glass and can carry 48 people. You can ride the cable car to the mountain, where you can enjoy a full view of Seoul. At night, you can experience the beautiful night view of Seoul. The Nanshan Cable Car, which has weathered decades of wind and rain, is one of the most popular tourist facilities beloved by Seoul citizens and tourists.",None Related,70
63 Building,"63 City is a skyscraper on Seoul's Yeouido Island, overlooking the Han River. The name comes from the building's 63 stories, 60 of which are above ground and 3 of which are below ground. It is an all-inclusive tourist attraction. The whole building is clad in double reflective glass, which gives it a brilliant golden appearance in the sunlight. Take high-speed elevators up to the 60th floor observation deck not only to get a panoramic view of Seoul but also to overlook Incheon's coastline. It is particularly charming at night. 63 City also has an IMAX movie theater, restaurants, businesses, an aquarium and numerous entertainment facilities.",None Related,106
Starfield Library,"The library, which has been very popular since its opening in May 2017, is located in COEXMALL, a department store in Gangnam District. It has attracted a large number of pilgrims in a short period of time and has become a popular landmark for photography and leisure. The interior is quite spacious and open, and this library features 3 large bookshelves up to 13 meters high, surrounding everyone, as if walking into a wonderful world like a fairy tale, as well as more than 50,000 books and magazines. It has a brand-new equipment e-book system, which is convenient for everyone to view and read. The magazine area also provides more than 600 kinds of domestic and foreign content for people to read. In addition, there are also many sofas and various tables and chairs in the library, which are convenient for everyone to read and rest here. The light is completely projected by natural light. The brightness inside during the day will definitely make you feel like you are bathed in the sun. Reading, watching the starry sky at night, embellishing the interior lighting to feel the romantic atmosphere.",None Related,189
Samcheong-dong,"Samcheong-dong is located near the east gate of Gyeongbokgung Palace. This neighborhood is full of quaintly traditional Hanok architecture, art galleries and antique shops. Modern life and traditional style merge together to form Samcheong-dong's unique atmosphere. Hidden among Samcheong-dong's various byways are various museums of diverse sorts. These include the World Jewellery Museum, the Owl Museum and the ToyKino Museum. Samcheong-dong is a great place for gourmands to visit; there are many different styles of cafés and restaurants including those in charming bookstores and adjacent to high-end art galleries.",None Related,89
Itaewon-dong,"Itaewon is a must-see shopping and sightseeing destination for foreigners visiting South Korea. There are more than 2,000 shops selling clothing, backpacks and other department stores, various hotels, restaurants, amusement places, as well as agencies of trading companies, travel agencies, and tourist hotels on the street with a total length of 1.4 kilometers. The presence of American troops nearby gives it a uniquely exotic feel, and the English signs and the hustle and bustle of foreigners make it seem like a foreign street. In addition, you can also taste foreign-style food and beverages that are hard to find in other places such as Turkey, India, Pakistan, Switzerland, Thailand, etc., making it a great pleasure to visit here. Itaewon, which is gradually developing into a tourist destination around the world, holds the Itaewon International Festival every year, where open-air cultural performances are held. In addition to shopping, tourists can experience the essence of traditional Korean culture in an exotic environment. Itaewon's very famous Itaewon 2nd Street is necessary to walk around. The 1.4km long road is lined with shopping malls of various themes. It has traditional suit shops for 30 or 40 years. Distinctive clothing, wedding dress stores, leather products stores, and new fashion stores are all gathered here. There are even the National Museum and Samsung Art Museum around Itaewon. Among them, the famous one is the Itaewon Sweat Screen, which is the shooting location of many Korean dramas. After a day of play, you can experience the Korean Sweat Screen, remember to buy eggs and rice wine.",None Related,258
"Hongik University, Seoul Campus","Hongik University in Korea is a famous art school best known for its Fine Arts Department. The neighborhood in front of the university is packed with a creative atmosphere. Artists often display their work here. Additionally, there are many performance and exhibition halls, as well as unique cafés. The nightlife in the areas surrounding Hongik University are very rich with lots of street performers. Next to the main entrance of Hongik University, there is a small park that regularly holds a flea market.",None Related,83
The Painters Season2 (Myeongbo Art Hall),"When you come to Seoul, how can you miss such a shocking and dreamy graffiti show? There are handsome actors, superb painting techniques, funny plots, romantic love stories, all of which are in the graffiti show! Even if you don't know a word of Korean, you can still watch the show with relish! The actors' splendid painting techniques, interesting make-up, humorous performances, plus the music that fills the entire scene and the soft light will bring you infinite joy and shock! [Graffiti Show: Reappearing Heroes with Art] ""Graffiti Show"" is a stage play that combines three-dimensional images with live painting. The theme of the performance is ""heroes"". The hero image in people's hearts is ""reborn"" on the stage. The interspersed modern media special effects are dizzying, surprises and joys, and infinite moving with the hero. The performance venue is located in the ""Seoul Theater"" in Jongno, so it is very convenient to go shopping nearby before and after the performance. [It can resonate even if you don't understand Korean] This drama is a ""silent drama"" with no lines from beginning to end. The actors' witty and humorous actions and expressions, coupled with art graffiti, make the audience completely entertained. For those who are not familiar with Korean For foreign audiences, there is no comprehension barrier. No matter what country you come from, you can find joy and resonance here. [Dizzying Art Forms] During the more than one hour performance, you can see various art forms with different styles, such as [Dazzling Painting], where the actors will outline colorful patterns on the water, which is very magical; [Action painting] ] It is a combination of dance and painting. The four actors sway their oil paints with a cheerful rhythm, and together they form a complete picture; It jumped out on the paper. [Stunning stage created by 3D images] ""Graffiti Show"" creatively introduced cutting-edge projection technology in the performance, and displayed realistic 3D stereoscopic images in front of the audience. world. [Light Sculpting] Sculpting pictures! Faster and stronger! [Action Painting] Jump! shake! sprinkle! Amazing work created with only four artboards! [Dust Painting] What you see in front of you is not everything, a mirage-like dust painting! [Sketch Drawing] A moment not to be missed, a large-scale Korean painting completed in an instant! [Cube Painting] Fantastic simulated rubber and plastic art completed with more than 200 cubes! [Luminous Painting] Draw the peace of the night sky with a silver pen! [Colorful Paintings] There is no ""impossible"", colorful paintings drawn on the water! [Battle Painting] The charming touch of the three actors presented in the dark!",None Related,432
DDP │ Dongdaemun Design Plaza,"Dongdaemun Design Plaza (DDP) was designed by the British architect Zaha Hadid. With 3 floors below ground and 4 floors above ground, the plaza is divided into five parts: the art hall, exhibition center, design lab, creative design market and the Dongdaemun History & Culture Park. It is a highly multifunctional cultural space. Once night falls, the LED Rose Garden outside of Dongdaemun Design Plaza (DDP) lights up. The many glittering flowers are like the stars blooming in the sky.",None Related,80
Insa-dong,"Insa-dong is located in the heart of the city, with a large boulevard at its center. It is surrounded by lots of small alleyways with all sorts of galleries, traditional craft shops and art shops. Insa-dong is famous for offering ceramics, all kinds of lacquer carvings, calligraphy, old paintings, objet d'art and valuable furniture all in one place. One of the many pleasures of strolling through Insa-dong and going shopping, is coming across all kinds of traditional Korean restaurants and teahouses along the narrow streets.",None Related,85
Blue House,"Cheong Wa Dae is the South Korean presidential office. It is located to the north of Gyeongbokgung Palace. Cheong Wa Dae is a complex of buildings mixing modern and ancient styles. The buildings have upward curved tiled roofs with 150,000 blue roof tiles. The unique buildings of Cheong Wa Dae include the Main Office, the Spring and Autumn Pavilion (Chunchugwan), the Guest House (Yeongbingwan), the Green Garden (Nokjiwon) and the Seven Palaces. The appearance of these buildings vary in style. Cheong Wa Dae can be toured with a guide at fixed times. The tour guide can explain the different parts of the building and give you a better understanding of its history and unique form.",None Related,115
