COUNTRY,Place,Details,Class
UNITED STATES,Insilico Medicine,"drug discovery, artificial intelligence company that looks to treat cancer and age related diseases. The company looks to extend deep learning and artificial intelligence solutions for drug and aging research. The company provides 3D molecular representations based on the wave transform for Convolution Neural Networks Molecular pharmaceutics. Insilico Medicine's drug discovery engine utilizes millions of samples and multiple data types to discover signatures of disease and to identify targets for molecules that exist or can be generated",Biotechnology
UNITED STATES,Recusion Pharmaceuticals,biotechnology and data science company that combines biology with artificial intelligence for the discovery of drugs. Recursion takes microscopic images to build biological datasets,Biotechnology
UNITED STATES,Human Longetivity,"biotechnology company using biological data to create medicine. developing a database on human genotypes and phenotypes to develop diagnostics and therapeutics against aging-related human diseases and conditions. Human Longevity Inc. databases are available to pharmaceutical, biotechnology and academic organizations",Biotechnology
UNITED STATES,Distributed Bio,"immuno-engineering company that developed antibody discovery, engineering, and informatics tools and services for the life sciences research and drug discovery markets. It also provided a computational platform for the analysis and engineering of antibodies, TCRs, and peptides, and a discovery platform of antibody libraries",Biotechnology
UNITED STATES,Genome Compiler,"company that provides an intuitive all-in-one software platform for genetic engineers, molecular and synthetic biologists. The company supplies a comprehensive set of tools for DNA design and visualization, data management and collaboration.Genome Compiler provides software service and its software is an all-in-one platform for life scientists in the field of molecular biology, genetic engineering, and synthetic biology field, and it offers a comprehensive tool for DNA design and visualization, data management and collaboration",Biotechnology
UNITED STATES,Varian Medical Systems,manufacturer of medical devices and software for treating cancer and other medical conditions,Biotechnology
UNITED STATES,Benchling,"focusing on life science collaboration, both private and public, through creating cloud based software tools for digital DNA sequence editing, designing and running experiments, analyzing data, and sharing research",Biotechnology
UNITED STATES,Envisagenics,Envisagenics is a biotechnology company using artificial intelligence and RNA sequencing to discover and develop therapeutics that arrest RNA splicing errors in cancer and genetic diseases,Biotechnology
UNITED STATES,Chronicled,"The company produces technologies for blockchains, zero knowledge proofs, supply chain solutions, and planning systems. Chronicled's decentralized network allows cross organization business rules to be enforced, and allows for auditing of records",Biotechnology
UNITED STATES,Nextbiotics,biotechnology and synthetic biology company that leverages synthetic biology tools and bacteriophage technology to provide solutions to the antibiotic resistance crisis,Biotechnology
UNITED STATES,Strateos,"biotechnology company specializing in automating chemistry, biology, and tissue analysis into closed loop robotic labs that are intended to accelerate drug discovery programs. It was founded as a merger between Transcriptic and 3Scan in 2019. The company's products are used in applications such as elastic chemistry, biomarker assays, cell-based assays, and biochemical assays",Biotechnology
IRELAND,Nuritas,"biotechnology company that uses artificial intelligence to find small molecules that have health and wellness properties. Nuritas has offices in the UK and Boston. The three lines of business include partnering with industry to find targets identified by the customer, to identify bioactives that can be licensed to an industry partner or further developed by Nuritas and the development of consumer products like ingredients for functional and health foods",Biotechnology
UNITED STATES,IDbyDNA,"biotechnology company with a focus on metagenomics technology. The company has developed technologies and a platform that profile micro-organisms and pathogens simultaneously in high volumes. The company has a solution for recognizing particles, pathogens, and other micro-organisms, and they called it Explify Respiratory. The solution applies DNA and RNA sequencing to detect and identify bacterial, viral, fungal, and parasitic pathogens by their unique genome sequences. The company uses this technology to identify common and rare pathogens, especially ones difficult to culture, new strains, and complex co-infections",Biotechnology
UNITED STATES,NuMedii,"medical technology company using Artificial Intelligence and Big Data to accelerate the discovery of new drugs and therapies. With the available data on genomics, molecular and biomedical data, and knowledge of drugs, the company develops various machine learning models for finding new therapeutic drugs for cancer and other diseases. The company licenses its drug candidates with pharmaceuticals for development and commercialization",Biotechnology
UNITED STATES,TeselaGen Biotechnology,"software company developing an industry-leading computer aided design (CAD) platform for designing and testing DNA sequences for use in biotech products, such as engineered microorganisms or virus-like particles. The platform generates protocols for molecular cloning methods and DNA library assembly",Biotechnology
UNITED STATES,The Sequencing Center,"a next-generation genome sequencing company, offers affordable genome sequencing, bioinformatics, and genome data management for research, pharmaceutical, and clinical organizations. Our services are designed for organizations performing research on bacterial, viral, and human-oriented research. Among these services, our facility offers targeted sequencing methods for research fields including inherited diseases, oncology, neurodegenerative diseases, antibiotic-resistant gene analysis, and biomarker discovery for drug development optimization",Biotechnology
SOUTH KOREA ,3billion,"Company that offers genetic testing for rare diseases, such as Mendelian disorders, using the latest sequencing technology and unlimited reanalysis",Biotechnology
UNITED KINGDOM,Apis Assay Technologies,"Biomarker Industrial Research Programme. This structured R&D programme undertakes industrial research on biomarker-based diagnostic assays, targeting oncology, inflammatory, cardiovascular, infectious disease and inherited disease areas",Biotechnology
UNITED STATES,Ardigen,"Ardigen is harnessing advanced Artificial Intelligence methods for novel precision medicine. The company accelerates therapy development by designing immunity, decoding microbiome, analysing biomedical images and providing digital drug discovery services. Ardigen's team is rooted in biology and holds deep expertise in bioinformatics, machine learning, and software engineering. The company's in-house datasets together with advanced AI platforms empower the development of effective precision therapies",Biotechnology
AUSTRIA,Ares Genetics,"developing DNA-based infectious disease services and solutions for drug response prediction to improve the way antimicrobial resistant (AMR) infections are diagnosed, and prevented or treated",Biotechnology
INDIA,Bioheaven360 Genotec,developing data driven risk predictions for diseases using AI-powered genomics diagnostics tools,Biotechnology
UNITED STATES,Birch Biosciences,"uses Artificial Intelligence, bioinformatics, and high-throughput screening techniques to effectively engineer enzymes for recycling plastic",Biotechnology
UNITED STATES,Camp4 Therapeutics,CAMP4 has built a proprietary 4-D Gene Circuity Platform to codify the discrete set of combinatorial rules used by any human cell type central to disease pathology,Biotechnology
ISRAEL,CytoReason,"CytoReason is a tech company transforming biopharma’s decision-making from trial and error to data-driven using an AI Platform of computational disease models. With its extensive database of public and proprietary data, the company maps human diseases – tissue by tissue and cell by cell. Researchers of all levels rely on CytoReason’s technology to make data-driven decisions across the drug development life cycle. Scientists can identify potential targets, prioritize indications, and stratify patient populations. Program leaders can compare drugs across multiple diseases or multiple drugs within a single disease",Biotechnology
UNITED STATES,Day Zero Diagnostics,"The future of infectious disease diagnostics starts at Day Zero. By using whole-genome sequencing (WGS) and our proprietary enabling technologies, Day Zero is creating a new class of sequencing-based in-vitro diagnostics that generates clinically actionable data at scale. Our technologies include novel sample preparation methods enabling unprecedented ultra-high enrichment of pathogen DNA for sequencing directly from clinical samples, machine learning algorithms that provide clinically actionable diagnostic results, and a world-class database of WGS and drug efficacy profiles. Day Zero Diagnostics is on a mission to transform the way infectious disease diagnostics are performed by generating the stream of real-time sequencing data required to change how we track, manage and combat infectious diseases.

With an enormous unmet clinical and economic need, we are targeting bloodstream infections and sepsis for our first application. The life expectancy of a patient with septic shock is 24 hours without fast effective antibiotic treatment. However, even when successful, current diagnostics take 2-5 days to identify the pathogen AND provide its antibiotic susceptibility profile. The lack of rapid, accurate, and comprehensive diagnostics, forces physicians to “carpet bomb” patients with severe infections with powerful, yet toxic, broad-spectrum antibiotics, which is not only ineffective in many cases but can also lead to significant morbidity and mortality. Day Zero delivers a complete diagnosis, including both the species and antibiotic resistance profile, in hours vs. days, enabling the physician to use a targeted treatment on day zero of hospital admission and resulting in better patient outcomes and cost savings",Biotechnology
UNITED STATES,Denovium,"reated a deep-learning platform for genome annotation, protein discovery and identification of novel DNA elements",Biotechnology
UNITED KINGDOM,Eagle Genomics,"Eagle Genomics applies network science to biology. Revealing the impact of the microbiome on humans, animals and the environment to secure a sustainable future for our food, water, soil and the health of our planet",Biotechnology
ITALY,EnGenome,"By combining artificial intelligence with ACMG, AMP and ClinGen guidelines, eVai classifies and prioritizes genomic variants by pathogenicity, suggesting the possible genetic diagnoses",Biotechnology
UNITED STATES,Freenome,"Freenome is using advanced computer learning to enable earlier, more effective treatment for millions of patients.  The company is developing computational methods to create effective tools for screening, diagnosis and treatment of cancer in order to reinvent disease management through early detection and intervention",Biotechnology
UNITED KINGDOM,GenomeKey,"Using next generation DNA sequencing and novel machine learning, GenomeKey diagnoses bacterial presence, species and antimicrobial resistance in only hours, not days, at low cost",Biotechnology
UNITED STATES,GNS Healthcare,"GNS Healthcare is a biosimulation company based in Somerville, MA.
A company called Gene Network Sciences (GNS) had been founded in 2000 by Cornell physicists Colin Hill and Iya Khalil, which focused on computational biology models of interactions among genes and proteins in cells, with a focus on cancer drug discovery",Biotechnology
UNITED STATES,Gusto Global,building a discovery and development platform for microbiome discovery and design. The company seeks to design Live Biotherapeutic Products that restore missing functions and carry out immunomodulation,Biotechnology
UNITED STATES,JADBio,"JADBio’s purpose-built AutoML platform provides leading-edge AI tools and automation capabilities enabling life-science professionals to build and deploy accurate and interpretable predictive models with speed and ease, even if they have no data science expertise. 
For life-science professionals, knowledge discovery is fundamental and sets the requirements apart when it comes to data analysis. JADBio can analyze small sample sizes or very large feature sets, focusing on feature selection and interpretation of the predictive model",Biotechnology
UNITED KINGDOM,Linguamatics,"Developer of natural language processing-based AI platform for high-value knowledge discovery and decision support from the text. The company's platform can be used on a variety of resources, including scientific literature, electronic health records and patents to quickly gleam insights to be used in the drug discovery process on health and reduced costs, thereby empowering its customers to speed up drug development and improve patient outcomes by breaking down data silos, boosting innovation, enhancing quality, and reducing risk and complexity",Biotechnology
GERMANY,MSAID,aids mass spectrometry with AI by providing software and data analysis services for proteomics using powerful machine learning algorithms,Biotechnology
UNITED STATES,Paige.AI,"using artificial intelligence to diagnose and treat of cancer with the goals of rapid stratification to tumor detection, segmentation, and prediction of treatment response and survival",Biotechnology
UNITED STATES,PathAI,"PathAI is a leading provider of AI-powered research tools and services for pathology. PathAI’s platform promises substantial improvements to the accuracy of diagnosis and the efficacy of treatment of diseases like cancer, leveraging modern approaches in machine and deep learning. Based in Boston, PathAI works with leading life sciences companies and researchers to advance precision medicine",Biotechnology
UNITED STATES,Precision for Medicine,"Precision For Medicine is a CRO that integrates clinical trial execution, laboratory services, and data sciences to help life-sciences companies develop life-changing therapies",Biotechnology
UNITED KINGDOM,PrecisionLife,"a precision medicine company with patented A.I. deep semantic technology for search, discovery and decision support. Our novel high-dimensional analytics find patterns of features in combination associated with disease risk, disease protective effect or predicted therapy response across all forms of data (genomic, phenotypic, lifestyle, clinical,
imaging, epigenetic, etc.) on massive data sets scaling from populations to personalized  treatment plans. Designed for patient stratification, biomarker discovery, clinical decision support and more. We specialize in “multi-omics hyper-combinatorial high-dimensional” analysis, and our precisionlife platform can analyze massive data sets and anywhere from 3 to 17 or more disease factors in combination. No supercomputer required – only a few GPUs",Biotechnology
SWITZERLAND,Sophia Genetics,"Sophia Genetics is a data-driven medicine software company with headquarters in Lausanne, Switzerland and Boston, Massachusetts. It provides genomic and radiomic analysis for hospitals, laboratories, and biopharma institutions. The company was ranked among the 50 smartest companies by the MIT Technology Review in 2017",Biotechnology
UNITED STATES,SpIntellx,SpIntellx is a computational and systems pathology company applying proprietary AI technologies to analyze whole slide images based on spatial analytics. SpIntellx is developing tools that will improve the accuracy and efficiency of pathologists and to generate predictive data to optimize patient outcomes,Biotechnology
UNITED STATES,Tempus,"technology company that is building the world's largest library of molecular
and clinical data and an operating system to make that data accessible and useful",Biotechnology
GHANA,Yemaachi Biotech,"uses immunogenomics, bioinformatics and artificial intelligence to accelerate the development of cancer detection and cure strategies, ultimately with the goal of lowering the economic burden of cancer on the African continent",Biotechnology
