,Place,Details,Class
603,Denarau Island,"Denarau Island is located in the northwest of the city center of Nadi, the main city of Viti Levu, the main island of Fiji. It is very close to the airport. It is a gathering place for resorts and has many luxury hotels. Each hotel here will be equipped with a private beach, where you can enjoy diving, swimming, fishing and other water activities. Denarau Island is one of the more mature resort areas in Fiji. Many important international conferences will be held here, so the security is also good.",None Related
604,Puzzling World,"The Labyrinth World is located about 2 kilometers away from Wanaka and is one of the world's ""weird"" themed parks. The labyrinth world is mainly divided into two areas, the illusion room and the big labyrinth. Here you will experience all kinds of ""impossible"" supernatural phenomena, such as the leaning tower, the grotesque cafe, the public toilet and the exhibition hall of sculpture illusion are not to be missed. In short, here you can't guess what will happen in the next second! The water that can flow upstream in the illusion room, the sliding chairs that move from floor to ceiling, all the weird things that subvert common sense are just trivial here. Passing through the world's largest 3D hologram, you can choose to go to the Hall of Tracking Faces to experience 168 faces following your every movement, or come to the Sculpture Illusion Exhibition Hall to see the living walls, wavy roofs, Stone rugs, hanging waterfalls, etc. The world's first three-dimensional labyrinth is an outdoor part of the labyrinth world. The design of the large labyrinth reflects the characteristics of a modern labyrinth. You can experience the fun of crossing bridges. Tourists who want to leave midway can use the special emergency exit at any time.",None Related
605,Mission Bay,"There are many western restaurants and outdoor cafes near Mission Bay Beach, which is a good place to taste delicious food and enjoy the sea view. 1. Abundant beach activities and water sports In Mission Bay, you can not only enjoy the panoramic view of the romantic harbor, but also overlook the volcanic island of Rangitoto, which erupted more than 600 years ago. Beach activities are plentiful here, and you can swim, kayak, windsurf, and other water sports like the locals, or inline, jog, bike, or walk along Tamaki Boulevard. 2. Iconic Fountain, Ice Cream Shop There is an iconic fountain near the beach, which will be colorfully lit at night. There are many restaurants and bars around Mission Bay. It is especially worth mentioning that there is a Movenpick ice cream shop that is very famous in Auckland. No matter when you come here, you will see a long queue in front of the shop. Be sure to try it. Oh try it.",None Related
606,Government Gardens,"The land occupied by the Government Gardens was originally owned by the Maori. This was originally a bush-covered geothermal area, called Paepaekumana by the Maori, who have left too many memories of war on this land. It was gifted to the government by the Maori in the late 19th century, who made a drastic transformation: clearing the bushes, replanting them with orthodox garden plants, and transforming the land into a beautiful and elegant lakeside spa Scenic spot. The Rotorua Museum of Art and History and the Polynesian Spa are both housed in Government Gardens. Even if you don't visit the museum or go to the hot springs, just strolling in this meticulously kept park and feeling the blue sky and green breeze of Rotorua is a very pleasant thing.",None Related
607,Auckland Art Gallery,"Auckland Art Gallery is an art gallery in Auckland, established in 1888, is a New Zealand art gallery with permanent exhibitions. It has a wide collection of works of art from New Zealand and other countries in the world, and also holds some international exhibitions. It is a museum with a long history in New Zealand. The S$112 million refurbishment of the Auckland Art Gallery reopened in 2011 with the addition of a glass and timber atrium design that the architects had in mind from the start: to match the original local landscape. Complementing the main body of the original French castle-style building built in 1887, it is a museum with a long history in New Zealand. 2. Rich collection, both visual and spiritual satisfaction There are rich collections here, including works by Picasso, Gauguin, Rainey and other artists. In addition, art works from New Zealand and the South Pacific region are exhibited here. Covers everything from Charles Gaudí's 19th-century tattooed Maori portraits to Colin McCarhorn's oil-on-canvas paintings of characters. Friends who like art may wish to come and visit.",None Related
609,Apollo Bay,"Apollo Bay is an intermediate stop on the Great Ocean Road. From Apollo Bay to the east and west, there are very spectacular bay landscapes. From Apollo Bay to the small town of Lorne, the terrain is steep and winding, and the road spirals up, as if in front of the sea OK. The lagoon next to the town of Lorne has a wide lake surface and dense reeds on the shore, which has become a habitat for seabirds and migratory birds. Occasionally there are white swans and black swans visiting, it is an ideal place for sketching, taking pictures, and creating ideas. In the Cumberland River Reserve (Cumberland River Reserve), 7 kilometers southwest of the town of Lorne, there is a beautiful river estuary, coupled with the broken arm cliffs that have been eroded by wind and rain, forming a beautiful landscape. Apollo Bay is a crescent-shaped bay that is a great place for fishing.",None Related
610,TranzAlpine: Scenic Train Christchurch - Greymouth,"The Alpine Scenic Train tour travels between Christchurch and Greymouth, traveling from coast to coast in New Zealand. From the comfort of your carriage, admire the intersecting farmland of the Canterbury Plains, as well as the spectacular gorges and valleys of the Waimakariri valley. The train will then climb the majestic Southern Alps to Arthur's Pass National Park and descend through lush beech rainforest to the west coast town of Greymouth - a great base for exploring Punakaiki and its popular glaciers . The comfortable carriage has huge panoramic windows.",None Related
611,Cathedral Square,"Cathedral Square is located in the middle of the city, and the square around the church is still a leisure place for locals. Every weekend, you can see a variety of street concerts and impromptu street performances here. There will also be a lively market, with T-shirts, sunglasses, paintings and various handicrafts sold along the street, and even a wooden handicraft clock in the shape of a church, which is of special significance. There is also a giant chessboard on the other side of the church square. Each piece has a considerable weight, which is very interesting. There are some cafés and restaurants in the streets near the square, where you can sit and relax with a cup of coffee to pass the time.",None Related
612,Walter Peak High Country Farm - RealNZ,"Take the steamship Enslow from Queenstown, roaming the beautiful Lake Wakatipu, and the boat slowly sails to the Walter Plateau Ranch on the other side. The ranch, which opened in the mid-19th century, is a century-old ranch with a long history, where you can watch classic performances such as the sheep shearing show and the sheepdog show. The ranch tour comes with an authentic New Zealand afternoon tea, and you can also go horseback riding in the vast ranch or enjoy fragrant barbecue at your own expense. Let's go to the ranch and experience the tranquility of New Zealand's unique ranch!",None Related
613,Melbourne Museum,"The Melbourne Museum was built in July 1996 and officially opened to the public in November 2000. It is the largest and innovative museum in the southern hemisphere. It is located in Carlton Gardens with the Royal Exhibition Hall. 1. Regional introduction The museum has three floors. The first floor includes the Bangiraka Indigenous Cultural Center, the Pacific Exhibition Hall, the Forest Exhibition Hall, the Science and Life Exhibition Hall, the Children's Hall, as well as shops and cafes; the second floor includes the Melbourne Exhibition Hall, the Mind and Body Exhibition Hall, Evolution Showroom; lower level includes Discovery Center and IMAX Cinema. 2. Collections and displays The collections and displays of the Melbourne Museum are amazing. You can see dinosaur fossils at the entrance, and there is also a 20-meter-long blue whale skeleton specimen, which is extremely rare. In more than 20 exhibition halls and independent exhibition halls, the museum has prepared all-inclusive content, and there are more than a dozen permanent exhibitions currently open. 3. Natural culture Nature is obviously the focus of the museum. The Science and Life Pavilion offers ""Bees"", ""Life of Insects"", ""Ocean Life: Exploring Our Sea"", ""Human Body"", ""Consciousness: Enter The Labyrinth"" and ""From Darwin to DNA"" at the Evolution Pavilion. 4. Indoor forest area The three-story indoor forest area introduces the ecological functions of the forest from the forest hierarchy, water conservation, plant composition, the seasonal distinction of Australian forests, and forest fires that often occur in Australia's dry season. There are also some Australian forests in it. Common birds and ants. The ""Forest Secret"" in the pavilion is at the center of the building, creating an ecosystem that is exactly the same as the natural environment, showing the trees, plants, wildlife and insects in Victoria's high mountains. Walking into the forest corridor, you will see more than 8,000 Australian plants planted here. In addition, there are insect exhibition areas and evolution areas that display the mysteries of the biological world. 5. The style of the style museum is very modern, which forms a strong contrast with the classical style of the Royal Exhibition Hall next to it. In addition to creating a visual effect, the metal frame and glass curtain wall also draw more natural light into the public spaces of the pavilion. You will see that the staff in the museum are wearing brightly colored work clothes, exuding a strong aboriginal cultural style, which contrasts with the avant-garde architectural form.",None Related
614,Gold Coast beach,"The sunshine on the Gold Coast is not pretentious. The air here is full of the smell of the sea breeze. The night scene is very sensible. There will be people desperately enjoying the sun all day long, and the wild animals here are so cute and well-behaved. Darwin, who ended his Australian expedition in 1836, once left a deep farewell message here, ""Farewell, Australia, when I left your shores without any regrets and sorrows"", I believe you will return without regrets. Surfers Paradise is the most attractive place on the Gold Coast. Whether you are happy or energetic, you can empty your soul and find where your heart belongs. The picturesque scenery of Springbrook National Park is amazing. In one of its mysterious caves, thousands of light-emitting worms will sparkle, waiting for you to visit before the dark night; if you are a hiking enthusiast, then come to Lamington National Park, a world cultural heritage, you You will definitely be excited, there are too many good walks on the trees and on the ground, worthy of your shoes, and how can you forget the charming rainforest scenery along the way; at sunset, climb to the height of the ground The 235-meter SkyPoint viewing platform, watch how the sunset falls into the deep sea magnificently and magnificently; you have been dreaming of idyllic style for many years when you come to Paradise Farm; come to the Gold Coast, if you miss the wonderful theme park, you will regret it in the future, dream world , Mountain Dew World, Warner Movie World, there are too many worlds that are too dazzling, too bright, too colorful, quickly accept their hotter invitations, and let's release the heat together under the sun on the Gold Coast!",None Related
615,Fox Glacier,"While many of the world's glaciers are melting, Fox Glacier's proximity to sea level remains unaffected. The local low altitude and warm and humid climate provide a convenient environment for excursions, making it a favored glacial landscape in the world. Visitors can easily walk to the foot of the glacier, cross the cliff-lined river valley on both sides, and admire the beauty of the glacier formed after thousands of years of melting and freezing. As you approach the foot of the glacier, its majestic beauty is sure to blow your mind.",None Related
616,Bondi Beach,"Bondi Beach is located in the southwest of Sydney and is one of Sydney's most famous beaches. The coastline is crescent-shaped. The beach is soft and sandy. There are beautiful blue skies and green seas. It is a good place to enjoy sunsets and sunrises. Whether it's summer or winter, this is the essence of Sydney, and it's a great place to experience how Sydney natives enjoy life. Due to the large waves, Bondi Beach is not suitable for swimming. On sunny days, Sydney people gather on Bondi Beach to enjoy sun bathing or surf into the sea.",None Related
617,"Te Puia - Rotorua, NZ","Rotorua not only attracts tourists from all over the world with its rich geothermal landscape, but also with its strong Maori culture. The Maori are the indigenous people of New Zealand and are the early masters of the land. Rotorua is the epicentre of Maori culture. Visitors from all over the world can enjoy unique and breathtaking Maori song and dance performances, watch Maori or simple or exquisite carvings, and learn about Maori history, culture and traditions in the Maori Cultural Village. Te Puia Maori Cultural Village is the birthplace of the world's Puhutu Geyser, mud pools, hot springs, New Zealand's national bird, the kiwi and wood carvings. The Maori Cultural Village is a collection of ancient Maori houses after renovation, with early buildings such as conference halls, housing and storage rooms. The houses of the early Maori were made of rushes and palm branches, which were simple and low, and could not straighten their waists. All kinds of storage rooms are supported by high feet. The tool room is similar to the bamboo building of the Dai people in Yunnan, my country, but it is shorter. There is an exhibition hall in the center of the village, which displays unique Maori carvings, which is a good place for tourists to learn about Maori culture. There is not only a world-renowned indigenous culture, but also an amazing geothermal culture. Hot springs and mud are numerous; steam is everywhere, and there is a strong smell of sulphur. Being in the geothermal area, the letter is like flying through the clouds.",None Related
618,Glenorchy,"Glenorchy's Chinese name translates to Glenorchy. Located on the north bank of Lake Wakatipu, just 45 minutes from Queenstown, it is the gateway to many hiking trails and the magical world of Middle-earth. 1. An outdoor lover's paradise This rustic town is a veritable outdoor lover's paradise. Surrounded by native beech forests and towering mountains, Glenorchy's surroundings are never lacking in excitement. Stunning Lake Wakatipu and the Dart River offer plenty of options for jet boating and kayaking, and it's a popular base for New Zealand's many walking trails. Horseback riding is also one of the most popular activities here. 2. The spectacular scenery of Glenorchy, the filming location of ""The Lord of the Rings"", has made it a filming location for blockbusters. The ""Lord of the Rings"" trilogy and ""The Chronicles of Narnia"" have been shot here in large numbers. Twenty kilometers from Glenorchy, as idyllic farmland is gradually replaced by beech forest, we come to the town of Paradise. The origins of the name vary, with some saying it got its name from the natural charm of the place, while others say it got its name from the ducks of paradise that inhabit it. No one can be sure of the origin of its name, but the suffocating natural beauty here has been unanimously recognized by everyone. . ""This is the Middle-earth I've always fantasized about,"" Sir Ian McKellen (Gandalf) said of Paradise.",None Related
619,Fed Square,"Federation Square is known as one of Melbourne's landmarks. The architect transformed static concept graphics into dynamic real world geometry. After the sun passes, after a shower or when night falls, its atmosphere, colors, texture and grain undergo amazing changes that have shocked those in the construction industry. Federation Square is located in the heart of Melbourne. Its main structure consists of 11 buildings and some open areas. Most of the Square's functions are designed to meet the cultural and leisure needs of the people. It is an ideal place to connect with the community, share culture and expressive features, and showcase Melbourne and Victoria lifestyles.",None Related
620,Melbourne Zoo,"In the heart of Melbourne, you will find Australia's oldest zoo, The Royal Melbourne Zoological Gardens or Melbourne Zoo for short. Easily discover 320 animal species from different climates or stay overnight at the historical Elephant House to view nocturnal animals in their natural habitats through guided tours. The Melbourne Zoo opened to the public eye in 1862 and offers 55 acres of exotic animal sanctuaries, flower gardens and picnic areas. Keep your family in awe by taking a stroll through the Butterfly House, the Great Flight Aviary or The Trails of the Elephants.",None Related
621,"St Paul's Cathedral, Melbourne","St. Paul's Cathedral is located at the intersection of Swanston Street and Flinders Street. Built in 1891, it is a famous building in the city of Melbourne. It is famous for its bluestone and fine wall lines. In 1932, the church added three more spires to make it look more magnificent. The church has stained glass windows, glazed tiles, wooden chairs and red vaulted skirts. There is also a huge organ, its brilliance and lustrous color blended with the red decoration of the church. There are several memorial statues stationed outside the church as well as a very beautiful small garden.",None Related
622,Lake Wānaka,"Lake Wanaka is located in the Otago region of New Zealand's South Island and is surrounded by high mountains. It is the fourth largest lake in New Zealand and the source of New Zealand's larger river, the Clutha River. 1. Four Seasons Scenery This is a lake with beautiful scenery. The lake water is pure and transparent, blue and clear. From a height, it looks like a sparkling sapphire inlaid on the ground. Here you can swim in four seasons, enjoy flowers in spring, swim in summer, take pictures in autumn, ski in winter, and the atmosphere of soaring is filled everywhere. You can sit on the pebble sandy beach, look around and enjoy the beautiful scenery of lakes and mountains around you; you can take a small plane and hover around Lake Wanaka, overlooking the whiteness of the snow-capped mountains and the blue water of the lake from a high altitude. The poplar tree-lined avenue by the lake is well-known from far and near, and the rows of tree shades reflected on the lake are even more poetic. Especially in the golden autumn season, the yellow leaves by the lake are a beautiful landscape, and the whole forest is dyed golden yellow, which is full of autumn. In addition to the common pebbles on the shore of Lake Wanaka, there are various minerals. 2. Life in the Lake District If you want to enjoy a leisurely lifestyle, you can go for a swim, drink coffee or just sit by the lake and enjoy the sun. Next to the lake is an endless vineyard, you can go to the garden to taste grapes, taste wine, and enjoy life. Take a walk by the lake in the evening, sit on a bench and listen to the sound of the waves crashing on the shore, and enjoy every bit of life.",None Related
623,Sydney Fish Market,"The Sydney Fish Market is a combined wholesale, retail and catering market. If you are a seafood lover, the Sydney Fish Market is definitely a must for Sydney. There is a variety of seafood from Australia and abroad: huge Australian lobster, king crab, oysters, salmon, squid and more. Many seafood stores sell already processed seafood, or you can have it processed in other locations within the market which should be less expensive and very fresh. In addition to trying delicious food in a restaurant, you can take it outside and enjoy a delicious picnic.",None Related
624,Whale Watch Kaikoura,"Get up close and personal with the world's largest toothed predator, the giant sperm whale. If you are lucky, you will have the opportunity to see rare dark spotted dolphins, Hector's dolphins, New Zealand fur seals and other animals during the voyage.",None Related
625,Dreamworld,"This is Australia's most visited theme park with a large area. It has a classic Chinese slogan: ""Australia is here!"" 1. Attractions Overview Dreamworld integrates the essence of Australia, with terrifying rides, natural and pristine wildlife parks and various aboriginal Australians. This kind of performance, you can only see it in your dreams except here. The whole park is divided into Adventure Zone, Adventure Zone, Cute Animal Zone, Tiger Island and Tropical Rainforest Zone. Here, you can get up close and personal with cute koalas and kangaroos, enjoy the wonderful performances of the endangered Bengal tigers, watch Australian sheep shearing, aboriginal performances, and enjoy thrilling entertainment projects such as pirate ships, free fall, and dark mine tunnels. 2. ""The Big Fall"" and ""Tower of Horrors"" If you're brave enough, take part in the Big6ThrillRides (6 thrilling rides) that many people are afraid of, including the Guinness World Records The tall ""Giant Drop"" and the fast ""Tower of Terror"" in the southern hemisphere. 3. The paradise of wild animals and birds Dreamworld is also a paradise for more than 500 native wild animals and birds. In addition to hugging koalas freely (Australian law stipulates that koalas can only be hugged in Queensland, the opportunity should be seized) !), hand-feed kangaroos, and take pictures with white tigers! Watching the performance of the Australian aborigines describing the hunting scene in the form of singing and dancing, and accepting their warm invitation, let's release the heat together under the blazing sun of Australia!",None Related
626,International Antarctic Centre,"Christchurch is an important gateway to understanding the Antarctic. The International Antarctic Centre is located near Christchurch International Airport. It was opened on September 28, 1990 and is operated by the Christchurch International Airport Group. Here, you can learn about the history, geology and other knowledge of the Antarctic Circle through sound, light and electricity. 1. The architecture of the International Antarctic Center is inspired by the special landforms of Antarctica such as icebergs and glaciers. The interior of the museum is also designed according to the Antarctic climate and ice and snow. Walking into the International Antarctic Center, the first thing you see is the outdoor conditions of the Antarctic base and the field photos and information sent back by Scottrade Base that day. 2. The Antarctic storm cabin, which has real snow and low temperature manufacturing fans, allows you to experience the cold of minus ten degrees Celsius in Antarctica, and simulate the strong wind when the snowstorm comes. Before entering, you will need to change into warm clothes and shoes. 3. Watch the feeding show in the penguin introduction area and then go down to the penguin introduction area and the feeding show. Here you will see the world's miniature Omalu blue penguins, very cute. If you are very interested in these blue penguins, you can take a tour of encountering penguins, and walk into the background to understand how the facilities in the penguin isolation area work, the living and eating habits of the penguins, and get close to them.",None Related
627,Twelve Apostles,"The Twelve Apostles, located in Port Campbell National Park on the Great Ocean Road, is a well-known scenic spot on the Great Ocean Road, attracting a large number of tourists every year. 1. The origin of the Twelve Apostles Rock The Twelve Apostles Rock is actually a rock standing in the sea. It was originally a part of the coastline. After the erosion of waves and strong winds, it gradually broke away. Because these twelve stone pillars are reminiscent of the twelve apostles who followed Jesus Christ in the Bible, they are named ""Twelve Apostles"". Due to the continued alluvial action of the waves, only seven remain. 2. Gibson Steps There is a well-known step on the way to the Twelve Apostles, called Gibson Steps, which is excavated from the cliff. The steps are 100 meters long, with a total of 86 steps, and it takes about 15 minutes to go back and forth. Steps lead to the beach, but the waves here are rough, not suitable for swimming, but suitable for fishing. The width of the steps is about 1 meter, which is only enough for one person to pass, so tourists with limited mobility should not try it easily. At the end, you can see the endless blue sea and two huge stone pillars. The steps are about a 2-minute drive from the rock, and there is a parking lot nearby. The parking is very convenient. After getting off the car, visitors can go from the Twelve Apostles parking lot through the gravel walking trail to the Gibson Steps. The best time to photograph the Twelve Apostles is in the early morning and at dusk. It is even more shocking to take a helicopter to overlook it. In addition, you can also participate in sea fishing, golf, water sports and other projects here. 3. Although the Twelve Apostles Rock of London Bridge and Arch is the highlight of the Great Ocean Road, there are still many places to play along the Great Ocean Road. Attractions such as London Bridge and Arch are not far away and can be visited together. The arches are suitable for viewing in the afternoon, when the view is bathed in a warm golden sun. Co-located in Port Campbell National Park are the Shipwreck Coast and La Card Canyon, only a 10-minute drive from the Twelve Apostles. Due to the rugged terrain in this area, many shipwrecks have occurred here. The sand here is soft and the views are spectacular, perfect for photography. Arch Island is also nearby, but it collapsed in 2009, which shows the fragility of the coastline.",None Related
628,Arrowtown,"Known as ""New Zealand's most beautiful autumn town"", Arrowtown is located around Queenstown. There are still more than 60 wooden and stone buildings in the town that are well preserved and some are still in use today. Arrowtown's rise began in the 1860s. After the discovery of gold in Arrow River, people flocked seven or eight times the population of the town today. When the flowers are blooming, stroll along Buckingham Street, the main street full of romantic Victorian style, and you will be dazzled by the dazzling array of handicraft stores, candy stores and specialty clothing stores around. You can pick up a catalog of old buildings at the museum and spend an afternoon feeling the unique historical charm of Arrowtown. The quiet and distant atmosphere of the quaint town will definitely bring a unique autumn feeling.",None Related
629,Avon River,"There are seats on the bank of the river section, you can sit down and rest for a while when you are tired from walking. Take an English-style gondola to visit the scenery on both sides of the Avon River. If you have enough time, you might as well take a British-style gondola (Punting) to go boating on the Avon River, swaying slowly on the calm river, and enjoy the pleasant time. At the same time, you can enjoy the charming scenery along the way, which is very romantic. The boarding point is Antigua Boat Sheds, and during the 30-minute journey, the boatman will tell you about the history or anecdotes of the coastal scenery. Blankets, umbrellas and even a thermos are provided on board, so you can go rafting even in the cold winter months. You can also rent rubber boats and kayaks to explore the Avon River on your own.",None Related
630,NZONE Skydive Queenstown,"Queenstown is a paradise for extreme sports, how can you miss skydiving here. Skydive Queenstown Skydive is an exhilarating activity to enjoy the thrilling feeling. Let you have a unique and unforgettable experience.",None Related
631,Farmers Queen Street,"Queen Street is an important commercial street in Auckland. The street is about 3 kilometers long, starting from Auckland's waterfront in the north and ending at Karanga Heipi Road in the south. The main street was built in 1840 and named after Queen Victoria. Queen Street is Auckland's prime location, and you can't go wrong here if you want to shop. 1. Feel the various classical ornate buildings along the street. The buildings on both sides of Queen Street are a major attraction. The Edwardian Baroque-style Auckland Dock Building, the 19th-century Greek Revival-style Bank of New Zealand Building, the British Gothic-style building Patrick's Cathedral, the British colonial-style Auckland City Hall, the colonial historical buildings and modern high-rise buildings complement each other, conflicting and harmonious. From the pier, stands the century-old yellow pier building. 2. Gift shops and wool products stores, Auckland's shopping paradise Queen Street There are gift shops and wool products stores on both sides of the street, selling handmade wool robes, Maori carvings, jade, jewelry, shell jewelry and other souvenirs. There is a bronze statue of a Maori warrior holding a wooden club on Queen Street, which is said to be out of respect for the Maori, because Auckland is a place where the Polynesians (the Maori are one of them) are very populated in the world. Smith & Caughey's department store is New Zealand's oldest and most beloved department store. 3. Civic Theatre, Auckland Town Hall, Sky Tower The landmark buildings of Auckland followed by the Civic Theatre. It is located at the intersection of Queen St and Wellesley St. It is located at the corner of the street, and the facade is not large. The building has been restored and is grand and magnificent. It is mainly a venue for opera, musicals and theatre, and is also an important venue for the Auckland International Film Festival. Auckland City Hall is not far away, a typical neo-Baroque building. Not far from Queen Street is the iconic Sky Tower, which can be seen from Queen Street and not far from it. It is a dazzling sight in Auckland. 4. Christmas Parade Feel the festive atmosphere One of the biggest festivals on Queen Street is the annual Christmas Parade. The event is usually held in late November and early December. Visitors should try to arrive on both sides of Queen Street several hours in advance to occupy a position with a good view. The Christmas parade fully demonstrated the tolerant and multicultural society of New Zealand. There were typical English bands, as well as Chinese dragon dance, lion dance and waist drum teams. Major companies displayed their own floats, which were very lively.",None Related
632,Agrodome,"The Agrodome Farm in Rotorua, North Island, is New Zealand's largest, state-of-the-art tourist farm with an area of about 150 hectares. Here you can meet red deer, turkeys, ostriches, alpacas, cows, lambs and many other animals you have never seen before. The farm has performances such as shearing and milking every day, which are very exciting and fun. The iconic sheep shearing bronze statue and the ancient carriage frame are displayed at the entrance of the farm. The Agrodun Farm covers a large area. To visit the pastoral area, you need to take a sightseeing tractor and set off on the tractor. You will see groups of people along the way. Cows and sheep grazing leisurely by the roadside. The tractor will stop in an open meadow, and nearby sheep will come running to surround you. In the alpaca area, the tall alpaca has a very docile temperament, and you can interact and take photos with them. In addition to getting up close and personal with various animals, you can visit the farm orchard, see the kiwi fruit trees, and taste the unique taste of kiwi honey. After the farm tour, go to watch the farm show. There are demonstrations of sheep shearing, sheep auctions, shepherd dog performances, etc. The host will also invite tourists to come on stage to milk the cows and compete for feeding lambs and drinking goat milk, which is very interesting. Visitors to the farm show can also visit the animal pup nursery. Before leaving, check out the WoollenMill, ShearingShedMuseum and DogandWhistle souvenir shops.",None Related
633,Phillip Island,"Phillip Island, also known as Penguin Island, is an island at the fjord of the Westport Bay in southern Victoria, Australia. There is a Phillip Island Nature Park on the island where you can see koalas, kangaroos, penguins, seals and many other wild animals. It is a veritable animal paradise with views of the beach, wetlands and woodlands.",None Related
634,SEA LIFE Melbourne Aquarium,"The Melbourne Aquarium is located on the banks of the Yarra River. It's a circular structure decked out in a blue-white color scheme. The aquarium has many exciting areas to explore for an unforgettable travel experience. It's home to Australia's massive Australian saltwater crocodiles, a rich variety of seahorse and sea dragon species as well as king and gentoo penguins. The idea of having a bit of fun with huge sea turtles and hide and seek with Nemo is no fantasy here. You can even take a transparent glass bottom boat for an adventure behind the curtain while traveling back and forth on the water yourself in search of excitement. △ Watch and feed jellyfish up close △ Go behind the scenes to see how penguins live △ Watch divers dance with fish",None Related
635,WILD LIFE Sydney Zoo,"Wild Life Sydney Zoo is an indoor zoo located in the Darling Harbour, adjacent to the Sea Life Sydney Aquarium. There are nine pavilions at Wild Life Sydney Zoo, where you can see not only Australia's well-known koalas and kangaroos, but also cute but cruel Tasmanian devils, huge saltwater crocodiles, and lizards with unique characters. Of course, in addition to viewing from a distance, you can also have some ""close contact"" with animals.△ Encounter cute koalas in Australia△ See the cute short-tailed kangaroo△ Meet the huge saltwater crocodile",None Related
636,Great Barrier Reef,"The Great Barrier Reef runs through the northeastern coast of Australia and stretches for more than 2,000 kilometers. It is the largest and longest coral group in the world. The Great Barrier Reef consists of more than 600 large and small coral reef islands, which are colorful and beautiful. The central coral reef island has become the iconic attraction of the Great Barrier Reef. 1. Attraction overview The Great Barrier Reef is home to a huge coral kingdom and thousands of marine life, as well as deep undersea cliffs, undersea tunnels and caves. Whether you are taking a helicopter to get a bird's-eye view of the corals or diving deep into the sea, you can truly appreciate it. Feel the magic of nature. When you come to the Great Barrier Reef, you can sign up for diving or semi-submersible ships to explore the underwater world. Of course, if you want to experience sailing out to sea, you can rent a variety of boats (from high-speed speedboats to catamarans) to ride the wind and waves and sail out to sea. You can also go on a cruise, depending on your time and preferences. If you want a more free sea experience, you can take a speedboat. In addition, overlooking the Great Barrier Reef by helicopter is also one of the projects not to be missed here, overlooking the world-famous Heart Reef from the air; riding a hot air balloon over the Atherton Tableland, the experience of going into the sea is not enough! 2. National Park There are many national parks near the Great Barrier Reef. In addition to the Daintree Rainforest (Daintree Rainforest), which is also a world natural heritage, there are many unmissable secret gardens waiting for you to slowly discover. Explore wildlife at Cape Tribulation and Nara Inlet on Hook Island, where rock art from the Ngaro people remains. Tourists can hire a professional guide to take you to the tropical rainforest, experience swimming, barbecue and other items in the national park. 3. Traveling methods To visit the Great Barrier Reef, you need to go to sea. Generally, you choose to start from Cairns or the Whitsundays. The Great Barrier Reef is mainly divided into the inner barrier reef and the outer barrier reef. The inner barrier reef is close to the city, and the outer barrier reef is far away from the city and has less pollution. Therefore, you must carefully choose the area you want to go according to your personal needs. 4. Daydream Island The main feature of Daydream Island is the various water sports and SPA on the island, bathed in the fragrance of nature, daydreaming here is better than sleeping.",None Related
637,Sydney Harbour Bridge,"The Sydney Harbour Bridge is construction representative of early Sydney. It is like a long rainbow across the bay, facing the world-famous Sydney Opera House across the sea, becoming a symbol of Sydney. Built in 1932, the Sydney Harbour Bridge has a total length of 1,149 meters, a width of 139 meters and a commanding height of 503 meters. It is a world famous steel arch bridge. Now climbing the Sydney Bridge has become Sydney's more popular tourist attraction. In addition to climbing, you can also drive under the bridge, take the train through the bridge or sail under the bridge, but the fullest experience is had by walking the bridge.",None Related
638,Sydney Tower Eye,"Built in 1981, the Sydney Tower is a observation point that offers a panoramic view of the city. And it is also one of the three landamarks of Sydney, together with the Sydney Opera House and Sydney Harbour Bridge. It is quite worthwhile to visit this Centrepoint. The Sydney Tower stands 300m above the CBD. The four sections are occupied respectively by two revolving restaurants, a observation deck and a café. The observation deck is equipped with high-powered telescopes, through which visitors can see the scenery as far as 70 kilometers. At the peak of the Sydney Tower, you can also walk outside the tower 260 meters above the ground, exthremely exciting.△ 360° overlooking the beautiful scenery of Sydney city△ Enjoy the beautiful sunset and city night view△ Experience walking on the glass platform on the top of the tower",None Related
639,Waiotapu Thermal Wonderland,"Wai-o-Tapu, which means ""holy water"" in Maori, is one of Rotorua's most famous geothermal areas. The most famous ones in Wonderland are the beautiful Champagne Pool and the Lady Knox Geyser, which starts spewing water at 10:15 am every day. This geothermal wonderland is centered on the volcanically active Taupo Volcano area, and about 3 kilometers of walking trails lead you to interesting attractions, including the boiling and extremely photogenic Champagne Pool, the thick but always in Boiling mud, mineral-rich hot springs, and Lady Knox's geyser, which spouts water at mysteriously timed and fixed points - every day at 10.15am, it starts spewing energetically, often for an hour at a time. The water column is as high as 20 meters. In addition to watching all kinds of wonderful and magnificent natural landscapes along the walking trails (please be careful not to walk into areas with warning signs to avoid danger), you can also take a helicopter to get a bird's-eye view of the entire steamy fantasy world. This is a well-developed scenic spot, equipped with a large-scale shopping area and cafes. If you are tired from walking, you can go to the cafe to have a cup of hot coffee and take a break. Before leaving, you may wish to buy a mud mask, which can represent Rotorua. Oh special product.",None Related
