Country,Place,Details,Class,WordCountBeforeCleaning
South America,Casa Rosada,casa rosada known presidential palace building east side plaza de mayo president sarmiento painted presidential palace pink red color federalist time white color opposition unity various political faction,None Related,56
Malaysia,Sipadan Island,sipadan island famous diving scenic spot sabah consists island island extends directly sea depth meter underwater part shaped like chimney edge sipadan island long step taken water depth directly change meter meter specie fish type coral water famous large number green sea turtle hawksbill turtle important reason sipadan ranked among top ten best diving place world diver must miss underwater cave filled colorful coral exotic fish turtle cave mainly distributed northern area sipadan island group silver scavenger soldier fish fluorescent fish beautiful,None Related,160
Korea,Seoul Children's Grand Park,large child park includes zoo botanical garden marine animal house small animal village amusement park outdoor concert stage sport facility even parrot village park opened korea child day holiday often site school visit family picnic main feature park include music fountain display colorful water show water playground provides cool fun place chill city thrill seeker appreciate amusement park iland,None Related,94
United States,Birch Biosciences,us artificial intelligence bioinformatics screening technique effectively engineer enzyme recycling plastic,Biotechnology,15
Ireland,Nuritas,biotechnology company us artificial intelligence find small molecule health wellness property nuritas office uk boston three line business include partnering industry find target identified customer identify bioactives licensed industry partner developed nuritas development consumer product like ingredient functional health food,Biotechnology,69
United States,IDbyDNA,biotechnology company focus metagenomics technology company developed technology platform profile pathogen simultaneously high volume company solution recognizing particle pathogen called explify respiratory solution applies dna rna sequencing detect identify bacterial viral fungal parasitic pathogen unique genome sequence company us technology identify common rare pathogen especially one difficult culture new strain complex,Biotechnology,86
Japan,Sannenzaka & Ninenzaka,sannenzaka ninenzaka near kyoto make two historically protected block kiyomizuzaka sannenzaka ninenzaka two small slope lined step sannenzaka small path linking kiyomizuzaka ninenzaka house mostly wooden house edo period vendor selling kiyomizu ware ancient kyoto porcelain product quaint restaurant souvenir shop found,None Related,77
France,Eiffel Tower,eiffel tower quintessential landmark notre dame symbol ancient paris eiffel tower symbol modern paris tower originally entrance fair commemorate anniversary french revolution making important cultural symbol france atop wrought iron tower lookout visitor get astounding panoramic view paris cityscape,None Related,77
United Kingdom,Eagle Genomics,eagle genomics applies network science biology revealing impact microbiome human animal environment secure sustainable future food water soil health planet,Biotechnology,35
United States,Novavax,novavax american biotechnology company based gaithersburg maryland develops vaccine counter serious infectious disease prior company scientist developed experimental vaccine influenza respiratory syncytial virus well ebola emerging infectious disease company redirected effort focus development approval vaccine,Biotechnology,61
France,Old Port of Marseille,old port area center gravity essence entire marseille region origin marseille third largest port world year ago importantly pure marseille style seen famous monument around old port including castle saint john saint nicholas era louis xiv addition old port life entertainment center maasai area around old port famous food district restaurant port operate famous marseille delicacy marseille fish soup old port actually old rebuilt second world war local still call old port apart habit historical sentiment every morning fish market lively wharf full small fishing boat boat whole harbor full unique leisure atmosphere southern france master plan old port mirror view pavilion jointly undertaken fosterpartners french landscape architect michel desvigne huge viewing pavilion meter like mirror supported thin column since corner mirror pavilion gradually thinned reduce visual weight view surrounding old port reflected ceiling polished stainless steel mirror well face thousand tourist stop watch creating strange beauty provides place tourist stop shade allows tourist become part landscape enjoy scenery old port,None Related,314
Japan,Senjojiki Rock Plateau,senjojiki rock plate formed sandstone neogene since sandstone rock solidified sand soft texture eroded wave year finally formed complex unique landscape today stack thousand joeski pronounced tatami japanese fu mean spread senjojiki mean spread tatami mat ground rock plate hectare size enough hold tatami mat hence name senjojiki sandanbi engetsu island sightseeing spot shirahama town coincidentally coast melaleuca belongs west coast naturally good choice watching sunset standing flat rock plate watching fiery red sun slowly sink vast pacific ocean place interest since ancient time,None Related,153
Malaysia,Pulau Beras Basah,wet rice island called baisha island latter named sand white former boat used transport rice encountered wind wave avoid wet rice wet rice island fine white sandy beach clear water making ideal beach bathing basic facility complete water activity including banana boat water parachuting water skiing,None Related,77
France,Sanofi,french multinational pharmaceutical healthcare company engaged discovery development manufacturing marketing wide range medicine vaccine portfolio includes medicine treatment cancer rare disease multiple sclerosis human vaccine protection various bacterial viral disease product company offer consumer healthcare product digestion allergy cough cold flu sinus pain health vitamin mineral supplement sanofi r effort focus advancing combination drug increase effectiveness treatment advancing formulation new biologics produce precision medicine,Biotechnology,99
United States,Kinetic Concepts,global corporation produce medical technology related wound wound healing produced first product developed specifically negative pressure wound therapy,Biotechnology,23
United States,Skydio,drone manufacturer using ai develop technology autonomous flight product include skydio drone reach speed mile per hour flown manually autonomously ability avoid obstacle capture photo video company provides solution multiple sector including public safety defense construction telecommunication,Robotic,59
Russia,Institute of Bioorganic Chemistry,institute bioorganic chemistry unique interdisciplinary scientific center combine research area chemistry biology information technology main research topic include synthesis study structure function nucleic acid protein component institute run phd program doctoral school part managed supercomputing networking center,Biotechnology,66
Switzerland,Sevensense Robotics,sevensense accelerating technological innovation service robotics industry enabling robot safely autonomously navigate dynamic space shared human outdoors strive empower enhanced ease integration use mobile robotics solution applied kind mobile ground machine forklift delivery cleaning machine minimum installation time,Robotic,66
United States,Piaggio Fast Forward,bring intuitive efficient technology solution entire environment supporting local mobility need business community individual cargo carrying following robot gitamini gitaplus first designed consumer use everyday environment since expanded following technology mobile solution business use augment labor force select industry including hospitality manufacturing indoor agriculture construction,Robotic,69
Africa,Mortuary Temple of Hatshepsut,temple famous queen hatshepsut father thutmose egyptian history valley surrounded cliff two long wide slope connect three flat wide colonnade building series,None Related,41
United States,Freenome,freenome using advanced computer learning enable earlier effective treatment million patient company developing computational method create effective tool screening diagnosis treatment cancer order reinvent disease management early detection intervention,Biotechnology,44
Africa,Hassan II Mosque,hassan ii mosque large seaside mosque sea intricate decoration towering minaret,None Related,33
South America,El Ateneo Grand Splendid,athenian bookstore downtown area buenos aire bookstore converted old theater claim second largest bookstore world predecessor grand theater light completed landmark buenos aire dome fresco painted italian painter sanarino orlandi theme peace original box sculpture crimson curtain stage theater well preserved stage become place reader rest go eat snack sit read box turned mini reading room,None Related,113
United States,Ventria Bioscience,biotech company focus human nutrition human therapeutic company established colorado company core technology genetically modified protein production system called pharming system called expresstec,Biotechnology,38
Indonesia,Penida Island,penida island outlying island east bali adjacent indian ocean water crystal clear coral reef marine life colorful together draw beautiful picture addition enjoying view boat visitor engage diving water sport,None Related,56
Africa,Miami Beach Boardwalk,miami seaside boulevard viewing road close sea beautiful place casablanca famous local attraction hassan ii mosque rick cafe around seaside boulevard wide driveway side driveway facing sea spacious wooden plank road handrail overlook blue atlantic ocean part stretch beach balustrade plank road row closely connected cafe bar swimming pool full leisurely holiday atmosphere corner seaside boulevard south almost end local coffee shop miami boulevard named miami cafe high embankment facing water side sitting open courtyard endless atlantic ocean front sunset extraordinarily beautiful side miami seaside boulevard close city anfa villa district among hidden tree equipped horse farm golf course house private security outsider allowed enter without invitation said international movie star celebrity europe united state residence,None Related,226
Africa,The Great Pyramid of Giza,pyramid khufu tomb pharaoh khufu fourth dynasty ancient egypt largest taller pyramid world around bc pyramid symbol egypt oldest seven wonder ancient world appearance pyramid visit pyramid khufu must first enter giza pyramid scenic spot entering first thing pyramid khufu relatively pyramid far although top weathered long time still huge building height story distance pyramid isosceles triangle side entire tower made million boulder foot pyramid climb level symbolically inside pyramid course addition seeing huge appearance pyramid outside visit inside although ventilation equipment installed inside pyramid still stuffy due narrow tomb passage inside pyramid recommended tourist poor health entrance tomb pyramid height meter ground entrance face big dipper photography allowed inside interior interior corridor illuminated stepping steep wooden stair entering imagine ancient egyptian carrying pharaoh sarcophagus going corridor placing sarcophagus secret chamber pyramid walking corridor step step pyramid footstep become heavier feel stuffy come pharaoh secret room secret room small room made granite meter ground year thought pyramid contained treasure mummy pharaoh archaeologist entered pyramid found empty coffin middle tomb pharaoh secret room open dark red granite empty sarcophagus placed middle secret room back pharaoh treasure looted empty coffin could moved walk touch empty coffin ancient egyptian writing pattern empty coffin secret room tourist may seen lying directly ground tourist sitting closed eye seem want absorb aura pyramid day still believe pyramid special power secret room walk slowly back along corridor eye brighten return exit moment may wonderful feeling returning world,None Related,507
United States,Ardigen,ardigen harnessing advanced artificial intelligence method novel precision medicine company accelerates therapy development designing immunity decoding microbiome analysing biomedical image providing digital drug discovery service ardigen team rooted biology hold deep expertise bioinformatics machine learning software engineering company datasets together advanced ai platform empower development effective precision therapy,Biotechnology,63
United States,Distributed Bio,company developed antibody discovery engineering informatics tool service life science research drug discovery market provided computational platform analysis engineering antibody tcrs peptide discovery platform antibody library,Biotechnology,44
Africa,Nairobi National Park,nairobi national park kilometer south nairobi city center west national road square kilometer savannah woodland first wildlife park nairobi national park nairobi park true safari park world national capital,None Related,53
United States,Avax Technologies,pioneer cancer vaccine development avax technology internationally integrated biotechnology company focused developing commercializing ac vaccine technology treatment cancer,Biotechnology,29
South America,Lake Titicaca,lake titicaca coyao plateau junction bolivia peru known pearl plateau large freshwater lake highest altitude world lake titicaca high sea level freezing inland salty meaning name unknown different translation puma rock rockofthepuma lead cliff cragoflead charm lake titicaca lie unique natural human resource altitude meter sea level clear thin air sunlight closer true color sun lake water bluer sky colonial culture indian culture wonderfully combined form regional culture region floating island urus popular tourist attraction lake titicaca urus branch indian aymara tribe small tribe fled lake avoid invasion empire inca choose reed live eat asparagus build huge floating island reed root build house boat daily necessity reed island content happy living small world drifting island generation orally teach craft making thing reed today hundred still live drifting island,None Related,247
Malaysia,Kuala Lumpur Railway Station,kuala lumpur railway station model moorish architecture designed architect kebo majestic dome glazed minaret giving byzantine feeling whole station designed like square castle train track middle city gate side train enter exit city gate train enters exit doorway returning era completed renovated addition modern facility previously passenger could travel train station town west coast peninsular malaysia tumpat east coast well singapore thailand since klcentral opened status premier train station replaced currently stop electric train service enter building vacated stairwell building underground passage underground endless highway back opposite station addition stand front malaysian railway administration building malayanrailwayadministrationbuilding opposite station watch photograph panoramic view train station current train station suitable taking picture need spend much time playing,None Related,224
Switzerland,BioValley,biovalley leading life science cluster europe founded connects academia company three nation upper rhine valley namely france germany switzerland main objective greater research cooperation company academia involved life science sector including pharmacology biotechnology nanotechnology medical technology chemistry agricultural biotechnology,Biotechnology,57
Portugal,Porto Cathedral,cathedral porto prominent hill porto ancient monument city overall architectural structure church present mix gothic baroque style front ornate rose window gate main altar purely late baroque elegant gothic cloister inside refreshing experience church existed city landmark nearly thousand year around took century construct still exquisite architectural feature intriguing day square bell tower side church unusual facade decoration almost empty zigzag structure top make seem incorporate architectural element castle addition pleasing blue flower tile mural inside church major feature portuguese architecture,None Related,156
United States,Aurora Flight Sciences,industry leader development manufacturing advanced unmanned aircraft system aerospace vehicle focusing developing technology travel robotic autonomous craft much recent success come collaborating boeing rapid prototyping commercial military aircraft structural assembly company utilizes rapid prototyping technique advanced composite material drive cost improve quality performance safety,Aerospace,76
Korea,Ewha Womans University,ewha woman university woman institution higher learning school sort beautiful scenery especially autumn maple leaf falling spring cherry blossom first appear everywhere look mix verdant green growth scholastic building quiet little garden hillside campus avenue full ginkgo tree hard forget ewha mean result school gate large ba relief sculpture pear blossom popular site taking souvenir photo ewha woman university ecc ewha campus complex korea largest underground campus six level counting ground floor near school ewha fashion street caters student body beauty salon fashion store,None Related,140
France,Baie des Anges,angel bay adjacent english promenade named shape wing angel beautiful beach france good place spend summer climbing castle overlooking east better angle appreciate angel bay beach nice special beach paved pebble directly use backpack pillow lie coast enjoy luxurious sunbathing listen sound sea flowing crack rock tide hit pebble,None Related,101
Korea,Gwangjang Market,gwangjang market place feel national characteristic korea flow coming going shouting korean language dazzling array good style korean market wide variety good sold market ranging hanbok fabric satin vegetable fruit meat seafood anything think sale particular countless hanbok shop good cheap even buy purchase food street addition gwangjang market long food street starting north gate eat kind food variety delicious snack mung bean pancake spicy fried rice cake fish cake kimbap sitting lively table eating traditional korean snack drinking glass soju become korean local know variety show come shoot runningman today gwangjang market become destination seoul missed,None Related,187
South America,Copacabana Beach,copacabana beach urban area adjacent ipanema beach seaside resort copacabana sand blue water clean soft sand plus mild temperature perfect splashing around field beach volleyball beach football beach,None Related,48
Japan,Shinsaibashisuji,shinsaibashi commercial shopping district osaka centered shinsaibashi commercial street variety boutique specialty store department store well variety shop buy japanese grocery course shop big brand shopping paradise find food world well local speciality okonomiyaki fried skewer takoyaki ramen,None Related,77
Africa,Abu Simbel Temples,temple ramses ii show prolong life afterlife temple two towering gate column hall huge stone column two broad courtyard three sanctuary spectacular visit read history change architectural style construction technique various type temple egypt,None Related,67
United States,Apptronik,build robot designed dexterity safety feature enable function alongside human worker company us technology like machine learning develop humanoid robot handle job industry like logistics construction,Robotic,40
Korea,Alive Museum,ailai moxiang art museum group art exhibition hall south korea main hall insadong covering area square meter museum currently largest experience museum korea filming location korean drama fascinated venue consists hall world fantasy shuttle box hall dino paradise sweet bean cafe display content includes art medium art physical art work beyond imagination bringing unparalleled new experience especially suitable taking picture hall world fantasy shuttle box hall physical art display painting sculpture special arrangement decoration discover mechanism mystery integrate painting become protagonist work representative first hall world fantasy shuttle box allows everyone experience fun adventure change lighting space second hall dino paradise second hall second basement floor magical et cute dino waiting play together cute fun dyno theme area allows regain joy childhood carefree child sexy real marilyn monroe looking forward meeting beautiful white dress viewing ai lai moxiang art museum taste fragrant red bean bread coffee red bean smoothie sweet bean shop full red bean aroma,None Related,272
Portugal,Arco da Rua Augusta,arc de triomphe augusta street classic stone building lisbon previous design bell tower century delay construction period finally evolved finely carved arch structure location arc de triomphe comercio square city center square surrounded municipal building three side used seat portuguese royal palace unfortunately completely destroyed lisbon earthquake arch earthquake building left behind,None Related,100
France,Big Bus,explore city sight pace free bus tour paris enjoy paris sightseeing tour discover eiffel tower historic site louvre impressive arc de triomphe unique city tour includes paris tourist attraction experience beautiful avenue stunning architecture picturesque view bus ride hop bus leisure customize city tour tour includes informative entertaining guided tour guide city,None Related,90
New Zealand,AJ Hackett Kawarau Bungy Centre,bungee jumping insanely exciting jumping activity fan craze started jumping kawarau bridge november aj hackett kawarau bridge bungy centre birthplace bungee jumping world representative location outdoor adventure queenstown kawarau bridge famous kawarau river type bungee jumping project tourist personalized requirement staff adjust bungee rope according requirement example tourist choose whether get wet,None Related,96
Japan,Osaka Castle Park,osaka castle park large park osaka downtown area feature famous osaka castle within addition forest park public facility multipurpose sport ground baseball field music theater football field park rich vegetation cherry blossom plum blossom attracting large number tourist every year,None Related,64
Africa,River Nile,nile river mother river egypt cairo section tourist usually choose swim nile river night enjoy city night view cairo watch wonderful belly dance sufi dance performance choice cruise ship dock side nile river downtown cairo variety cruise ship different grade price range egyptian pound two hundred egyptian pound famous one pharaoh cruise luxury dinner cruise maximdinnercruise sailing cruise feluccacruise etc lively night cruise parade day night usually belly dance sufi dance performance board night cruise lively book night tour hotel get lower group rate pharaoh cruise ship retro hull characteristic four cruise day lunch cruise dinner cruise dinner cruise reservation required accept credit card payment reference price egyptian pound per person tel address giza official website http,None Related,204
Indonesia,Ayung River Rafting,exciting rafting challenge bali enjoy leisurely relaxing admire dense rainforest waterfall canyon along way immerse embrace provide considerate convenient service complete interesting exciting adventure experience whitewater rafting experience ayung river dissipate heat keep good mood fun embark rafting trip longest river face rapid another use team spirit working together successfully conquer rapid challenge,None Related,101
Korea,SeMA - Seoul Museum of Art,seoul museum art sema short representative art museum seoul museum total exhibition room outdoor sculpture park collection painting sculpture medium etc addition art exhibition art lecture held regularly international medium art biennale held every two year,None Related,61
United States,NuMedii,medical technology company using artificial intelligence big data accelerate discovery new drug therapy available data genomics molecular biomedical data knowledge drug company develops various machine learning model finding new therapeutic drug cancer disease company license drug candidate pharmaceutical development commercialization,Biotechnology,61
New Zealand,Mount John,mount john commanding height town lake tekapo top mountain overlook panoramic view lake tekapo town famous point mtjohnuniversityobservatory top mountain experience starry sky tekapo night,None Related,55
South America,Floralis GenÃ©rica,argentine steel flower symbol representative hundred flower spanish written floralisgenerico flower meter high flower diameter meter closed meter open flower consist large petal weigh ton total base flower pool diameter meter steel flower garden united nation square recoleta district first district argentina adjacent law school university buenos aire flower mainly cast stainless steel aluminum open close morning evening manual electric control flower open dawn every day year except storm close dusk however day flower bloom national day may spring festival september christmas eve december new year december,None Related,171
New Zealand,SEA LIFE Kelly Tarton's Auckland,kelly tarton auckland aquarium converted abandoned sewage plant completed new zealand marine archaeologist kelly tarton year major theme display characteristic fascinating winter wonderland icefield expedition vehicle viewing area minus degree celsius watch colony king gentoo penguin walking artificial snow diving underwater experience excitement big shark stingray swimming transparent glass landscape tunnel underwater world witness mighty giant lobster coexists harmoniously neighbor want close put cage shark viewing tank even dive directly shark viewing watch giant shark learn marine life southern watch adorable feeding process colony king gentoo penguin,None Related,166
Portugal,Quinta da Regaleira,near historic center sintra portugal regaleira estate unesco world heritage site part sintra cultural landscape sintra main tourist attraction regaleira estate includes romantic regaleira palace regaleira chapel sumptuous park lake cave well bench fountain wide variety exquisite building estate known millionaire monteiro palace nickname first owner small curved city wall middle manor sacred object carved city wall walk city wall dry well depth meter pas cave ten meter long exit end cave right middle well spiral staircase surround well spiral layer symbolizing cycle heaven hell purgatory described dante along spiral staircase walk bottom well wellhead outside wellhead garden world flower,None Related,198
United States,The Sequencing Center,genome sequencing company offer affordable genome sequencing bioinformatics genome data management research pharmaceutical clinical organization service designed organization performing research bacterial viral research among service facility offer targeted sequencing method research field including inherited disease oncology neurodegenerative disease gene analysis biomarker discovery drug development optimization,Biotechnology,62
Indonesia,Jimbaran Beach,jimbaran beach famous spectacular sunset endless ocean seems swallow sun whole horizon glow ember transience journey night magical addition famous seascape seafood stall major attraction enjoy candlelit seafood dinner admiring sunset walk along beachfront paradise,None Related,64
United States,ACEINNA,aceinna mem sensor sensing solution company focusing innovative current sensing technology inertial measurement unit imu sensing technology,Robotic,23
Indonesia,Tanjung Benoa,taniung benoa known colloquially south bay famous water sport culture aquatic activity bay reef block surging tide meaning wave reaching shore remain relatively calm natural protective barrier make swimming water sport comparatively safer attraction include new flying fish exciting rocket experience panoramic view bali towering umbrella visitor charter sea watch sea turtle visit small fishing village north,None Related,84
United States,Merck & Co,develops produce medicine vaccine biologic therapy animal health product multiple blockbuster drug product revenue including cancer immunotherapy medication vaccine hpv chickenpox,Biotechnology,33
Japan,Tsutenkaku,shinsekai district osaka patterned eiffel tower tsutenkaku become iconic landmark building osaka night tower lit colorful light attractive sight southern city japan visitor observation deck enjoy beautiful view street taking bustling city different perspective,None Related,65
United States,Agility Robotics,agility robotics launched commercial version digit humanoid robot designed classic dull dirty dangerous manual labor including basic warehouse logistics task cost six figure navigates thanks lidar sensor,Robotic,41
United States,Harmonic Drive,harmonic drive leading producer servo actuator gearheads gear component opened newly constructed manufacturing r facility beverly heavy equipment specialized machinery used manufacture gear,Robotic,33
Denmark,Allergologisk Laboratorium Kobenhavn Abello,specializes development manufacturing allergy immunotheraphy product prevention treatment allergy world largest maker allergy immunotheraphy product,Biotechnology,29
Poland,Ryvu Therapeutics,clinical stage drug discovery development biotech focused developing small molecule therapy alternative current cancer treatment advanced program pipeline targeted therapy acute myeloid leukemia currently phase trial partnership pharma company menarini lead candidate phase trial potential treat blood cancer solid tumor,Biotechnology,67
Switzerland,Roche,largest biotect company well leading prodiver diagnostics global supplier transformative innovative solution across major disease area,Biotechnology,27
United Kingdom,Apis Assay Technologies,biomarker industrial research programme structured r programme undertakes industrial research diagnostic assay targeting oncology inflammatory cardiovascular infectious disease inherited disease area,Biotechnology,25
United States,General Dynamics Mission Systems,general dynamic mission bluefin division make unmanned autonomous underwater vehicle client defense commercial scientific sector offering include different sensor vehicle,Robotic,31
United States,Built Robotics,robotics startup transforms heavy equipment autonomous robot ai guidance system association international union operating engineer,Robotic,26
France,Catacombs of Paris,catacomb paris first opened century underground cemetery holding remains six million parisian climb narrow stone stairwell darkened tomb explore hall cavern decorated carefully placed bone catacomb wall decorated century graffiti visitor remember pack sweater light jacket temperature get cool degree celsius,None Related,79
South Korea,3billion,company offer genetic testing rare disease mendelian disorder using latest sequencing technology unlimited reanalysis,Biotechnology,20
South America,San Martin Plaza,plaza san mart iacute n opened july celebrate anniversary peru independence named san martin father liberation south america center stand statue nation extraordinary achievement american war independence statue hero saint martin prancing horse gun representative public space lima historical center lima world heritage site close plaza de armas surrounded yellow building tall palm tree including famous bolivar hotel broad street middle square via nicolas de pierola,None Related,124
Indonesia,Waterbom Bali,fun adventure experience south side kuta beachfantasy excitement premier water parkthe first choice family friend travel vacation waterbom bali variety water slide swimming pool playground giant water slide rush speed kilometer per hour thrilling lazy river tropical plant planted along bank allows leisurely enjoy comfort surrounded greenery natural relaxing water leisure activity enjoy happy time extremely popular waterslide make scream surrounded greenery relax body mind relax feel extremely comfortable,None Related,113
Portugal,Red beach,red sand beach beautifully secluded beach stunning view secluded beach acrotiri southern tip santorini large expanse red bare rock rock rich iron present fascinating red color even magical dazzling sunlight peak tourist season beach always full deck chair hot blonde sunbathe rent deck chair around euro,None Related,80
Poland,Proteon Pharmaceuticals,proteon pharmaceutical produce feed additive prevent eliminate bacterial infection livestock aquaculture additive contain bacteriophage virus infect specific strain bacteria reducing risk pathogen developing antibiotic resistance,Biotechnology,36
Indonesia,Kuta Beach,kuta beach great place sunbathing enjoying surf beach set bay kuta end offer welcoming water paddler beginner stronger surf make middle section paradise professional enjoying wave find variety traditional balinese handicraft shop along beach addition hotel bar club nightlife,None Related,73
Malaysia,Kinabalu GeoPark,mount kinabalu highest mountain southeast asia height meter kilometer kota kinabalu kinabalu national park forest reserve covering area square kilometer kota kinabalu take two hour drive national park main office altitude temperature day vary degree celsius national park favorite destination mountain climber visited nature lover whose main purpose watch bird butterfly observe unique flora fauna rare plant wild orchid orchid world largest flower rafflesia bloom cm diagonally flora fauna kinabalu national park diverse ranging lowland rainforest temperate forest oak high mountain pine cypress tree common way visit national park climb mount kinabalu follow forest trail around main office national park exploration tour take day climb foot mountain top mountain back foot mountain depending climate time physical fitness climber several rest stop along way kilometer kinabalu national park office poring hot spring good place relieve fatigue climbing arduous steep mountain,None Related,267
Japan,Shinsekai,shinsekai osaka famous old neighborhood encompasses tsutenkaku tower historical shop iconic scene found especially known image puffer fish lantern set tower area appeared film television program grassroots sentiment district changed much year good place discover past prosperity osaka communal atmosphere city fully reflected,None Related,84
United States,Alnylam Pharmaceuticals,focus discovery development commercialization rna interference therapeutic genetically defined disease,Biotechnology,14
New Zealand,Hells Gate,total hot spring attraction hell gate among devil hot spring geyser spring water temperature degree constantly gurgling large hot spring waterfall southern hemisphere pours mightily stunned hell gate mean young daughter taken away water maori commemorates young girl drowned geothermal pool english name taken bernard shaw visited site impressive geothermal resource reserve cover acre kilometer walking trail leading various attraction scene geothermal steam eruption seen everywhere rock surface turned yellow due influence sulfur desolate everywhere like purgatory earth throw rock mud hot spring pool avoid kind accident said bad thing various natural landscape gate hell punished degree punishment duration punishment vary depending bad thing sure awe inside gate hell,None Related,218
New Zealand,Oamaru Blue Penguin Colony,oamaru blue penguin conservation center minute city center convenient place blue penguin living natural environment peak season pair blue penguin homing conservation center sometimes blue penguin arrive overnight staff includes marine biologist conduct research various behaviour breeding success blue penguin conservation center provides two kind viewing daytime viewing dusk viewing daytime viewing mainly visit penguin protection center watch little penguin preyed sea day dark room bluewing evening viewing divided ordinary seat vip seat vip seat closer penguin meter twilight viewing provides chinese english commentary service,None Related,147
United States,Wilder Systems,want future manufacturing task completed modular autonomous robot company supply robot service industrial service enterprise company work commercial governmental enterprise specifically interested aerospace application wilder system robot drill aircraft seal inspection,Aerospace,51
United States,Biovista,private drug development service company based charlottesville virginia biovista core business activity include drug repositioning drug well disease cohort analysis adverse event prediction clinical hold analysis service biovista applying technology platform develop drug repositioning program area central nervous system eye disorder oncology,Biotechnology,59
Indonesia,Nusa Dua,nusa dua luxury resort known tranquil beach turquoise water perfect place enjoy balinese sunrise cluster hotel adjacent private beach providing secluded holiday environment large shopping mall shop nearby nusa dua calm beach ideal diving swimming water activity,None Related,63
Switzerland,Maxon Motors,manufacturer supplier motor system group including subsidiary offer electric ac motor dc motor encoders gear motor controller sensor,Robotic,24
United States,Alexion,pharmaceutical company specializes orphan drug treat rare disease specifically related disorder complement system part immune system involved inflammatory response,Biotechnology,31
France,Disneyland Paris,christmas coming th november come experience magic christmas like nowhere else paris nothing like unique atmosphere disney enchanted christmas bring loved one together create unforgettable memory last lifetime gaze awe majestic twinkling christmas tree cheer along mickey dazzling christmas parade beam day sparkle night enjoy festive surprise beloved disney character step twinkling wonderland bursting christmas cheerï share wish experience magical moment together enchanting christmas wonderland disney imagine feel extra special festive spirit wander twinkling street park gaze giant sparkling tree magical ever may even snow main street miss magical illumination giant christmas make sure head town square dusk magical moment giant christmas tree illuminated time throughout day evening time lighting eye watching festivity continue mickey friend disney princess character santa stop mickey dazzling christmas parade join fun feel joy dazzling christmas parade whoop wave merrily magical festive procession dazzling christmas parade day mickey friend disney princess character santa dancing gliding main street fabulous float bedecked twinkling christmas tree design night parade glow bright adding even sparkle enchanting christmas wonderland share christmas wish disney santa come together disney character dressed festive finery feel magic christmas come life like nowhere else chance wish stitch goofy friend happiest ho ho holiday even meet snap photo santa ask get together mickey friend merry musical sing along mickey minnie donald daisy goofy swing christmas spirit sing christmas show videopolis discoveryland sackful festive song celebration music prof nothing quite like tune bring everyone together yummy christmas time come gather around table enjoy disneylicious speciality celebrate christmas warm winter stuffed poultry chestnut cranberry chocolate speciality park hotel even christmas market gourmand,None Related,477
Japan,Legoland Japan Resort,lot interactive attraction based around lego world touch trade mini figure park staff interact character ride attraction show eight different area ride enjoyed small child opened april nagoya japan legoland japan boast wide variety attraction performance enjoy faced multitude spectacularly large figure made lego visitor help photo marvel magic small brick characteristically lego aspect adult child bound entertained walk corridor factory read lego story wall learn history started developed become big year enter world ninjago join courageous ninja kai nya mission protect bandit yinyang dragon day fully grow powerful light dragon become firefighter work together experience firefighting,None Related,200
Switzerland,Novartis Institutes for BioMedical Research,nibr research arm novartis pharmaceutical company focus discovering innovative solution various therapeutic area including biotechnology,Biotechnology,22
United States,ZOIC LABS,zoic lab exists intersection data narrative design technology collaboration create advanced visualization technology multiple use case working private company government sector alike zoic visualization tech utilized remote sensing ai ship tracking electromagnetic sensing sister company zoic studio provides advanced graphic storytelling capability film television gaming vr production,Aerospace,66
France,Fontainebleau Palace,palace fontainebleau known epitome french history included world heritage list originally royal hunting palace expanded important palace french renaissance later architect artist participated reconstruction left imprint style various period location fontainebleau small town kilometer southeast paris favorite weekend excursion parisian palace fontainebleau surrounded forest fontainebleau forest surrounding palace originally royal hunting ground become outdoor sport base bouldering enthusiast bouldering season october attracts rock climber world main building palace fontainebleau includes main tower six palace five courtyard four garden main attraction palace ballroom conference hall chapel throne hall diana fresco promenade promenade queen bedroom napoleon living room pope apartment napoleon love yellow wife josephine prefers rose overall color interior decoration mainly yellow rose red four museum palace namely china pavilion napoleon pavilion gallery home pavilion among chinese pavilion large collection precious cultural relic yuanmingyuan display thousand art treasure ancient painting gold jade jewelry sculpture china ming qing dynasty sometimes open visit among western museum palace fontainebleau collection exhibition yuanmingyuan treasure white horse court white horse court main entrance fontainebleau step scene palace fontainebleau napoleon gave speech abdicated china pavilion entering building right side courtyard ticket office forget lead audio guide purchasing ticket walk along promenade start visit palace fontainebleau stair near end rush upstairs keep going china pavilion ca find location china pavilion ask staff door china pavilion generally closed need closed entering golden pagoda meter high prominent position museum whole body inlaid emerald every floor basically similar existing golden pagoda forbidden city beijing two precious gilt bell various yuanmingyuan treasure except weekend holiday china pavilion closed earlier visit morning march exhibit stolen palace fontainebleau including unicorn golden manza old collection yuanmingyuan treasure go upstairs china pavilion continue enjoy napoleon pavilion throne hall napoleon throne small room promenade lower half made golden yellow fine wood carving meter high retaining wall exquisite mural entire promenade brilliant elegant visiting main exhibition hall go first floor exit souvenir shop go browse courtyard garden fact go back china pavilion short walk exit hint enter courtyard addition indoor landscape courtyard palace fontainebleau characteristic decorative style combination thin wood retaining wall plaster relief mural unique diana garden flower bed sculpture well small exquisite fountain roam freely large park green forest tea room scenic area fontainebleau palace restaurant town moderate price,None Related,722
