Place,Details,Class,WordCount
Luxor Hot Air Balloon,"['set', 'dawn', 'enjoy', 'sunrise', 'view', 'valley', 'kings', 'hot', 'air', 'balloon', 'entire', 'ruins', 'thebes', 'feet', 'feel', 'strong', 'atmosphere', 'ancient', 'egypt', 'air', 'time', 'satisfy', 'yearning', 'sky', 'history', 'nothing', 'compares', 'even', 'fantastic', 'way', 'start', 'day', 'sky', 'valleys', 'kings', 'queens', 'sides', 'road', 'great', 'temple', 'queen', 'hatshepsut', 'city', 'hab', 'small', 'play', 'time', 'luxor', 'hot', 'air', 'balloons', 'must', 'sunrise', 'ensure', 'beauty', 'sunrise', 'west', 'coast', 'therefore', 'according', 'location', 'hotel', 'generally', 'necessary', 'leave', 'around', 'head', 'designated', 'location', 'west', 'bank', 'general', 'hot', 'air', 'balloon', 'tour', 'time', 'minutes', 'fluctuate', 'according', 'weather', 'day', 'judgment', 'captain', 'flight', 'certificate', 'attached', 'event', 'depends', 'weather', 'balloon', 'companies', 'canceling', 'events', 'winds', 'erratic', 'hot', 'air', 'balloon', 'company', 'recommends', 'magichorizon', 'company', 'large', 'scale', 'medium', 'prices', 'friendly', 'professional', 'staff', 'good', 'reputation', 'among', 'tourists', 'address', 'khaledibnelwalidstreet', 'oppositesteigenbergernilepalace', 'tel', 'booking', 'official', 'website', 'http', 'company', 'operating', 'years', 'high', 'reputation', 'rich', 'experience', 'service', 'warm', 'thoughtful', 'address', 'omralistreet', 'televisionstreet', 'luxor', 'tel', 'info', 'official', 'website', 'http']",None Related,269
Luxor Temple,"['luxor', 'temple', 'mainly', 'amenhotep', 'iii', 'bc', 'ramses', 'iii', 'bc', 'luxor', 'temple', 'city', 'center', 'used', 'small', 'temple', 'used', 'celebrate', 'new', 'year', 'later', 'amenhotep', 'iii', 'thutmose', 'iii', 'ramses', 'ii', 'successively', 'expanded', 'repaired', 'place', 'used', 'place', 'welcome', 'amenhotep', 'iii', 'thutmose', 'iii', 'ramses', 'ii', 'known', 'southern', 'palace', 'god', 'amon', 'memorial', 'place', 'god', 'mon', 'ra', 'goddess', 'mut', 'god', 'kongsu', 'grand', 'festival', 'held', 'every', 'year', 'opert', 'festival', 'end', 'temple', 'former', 'sphinx', 'road', 'named', 'sphinx', 'could', 'led', 'way', 'karnak', 'temple', 'interrupted', 'temple', 'huge', 'statue', 'ramses', 'ii', 'granite', 'obelisk', 'magnificent', 'stone', 'pillars']",None Related,154
Luís I Bridge,"['louis', 'bridge', 'across', 'douro', 'river', 'connects', 'urban', 'area', 'porto', 'new', 'city', 'gaia', 'south', 'bank', 'majestic', 'iron', 'bridge', 'ornamental', 'value', 'traffic', 'artery', 'connecting', 'north', 'north', 'banks', 'douro', 'river', 'arriving', 'bridge', 'come', 'lively', 'riverside', 'scenery', 'porto', 'charming', 'harbor', 'begins', 'work', 'steel', 'arch', 'bridge', 'named', 'king', 'louis', 'time', 'started', 'span', 'meters', 'today', 'renovated', 'modern', 'transportation', 'needs', 'upper', 'level', 'louis', 'bridge', 'paved', 'tram', 'tracks', 'lower', 'level', 'allows', 'cars', 'pass', 'visitors', 'want', 'enjoy', 'beauty', 'porto', 'douro', 'river', 'climb', 'bridge', 'panoramic', 'view', 'tranquil', 'beauty', 'accompanied', 'sound', 'metal', 'resonance', 'tram', 'scene', 'heavy', 'traffic', 'louis', 'bridge', 'hundred', 'years', 'seems', 'never', 'changed']",None Related,186
Lyon Old Town,"['lyon', 'old', 'town', 'right', 'bank', 'saône', 'river', 'foot', 'fourviere', 'mountains', 'fishing', 'village', 'ancient', 'times', 'century', 'became', 'largest', 'silk', 'production', 'areas', 'world', 'century', 'economic', 'cultural', 'center', 'france', 'stroll', 'old', 'city', 'travel', 'back', 'middle', 'ages', 'today', 'still', 'old', 'buildings', 'centuries', 'medieval', 'renaissance', 'classical', 'houses', 'connected', 'streets', 'paved', 'cobblestones', 'walking', 'seems', 'back', 'middle', 'ages', 'boutiques', 'handicraft', 'stores', 'restaurants', 'cafes', 'along', 'street', 'forget', 'look', 'buildings', 'street', 'shopping', 'colorful', 'little', 'houses', 'bright', 'drains', 'stone', 'carvings', 'carved', 'window', 'lattices', 'give', 'old', 'town', 'charm', 'main', 'attractions', 'recommended', 'cathedral', 'visit', 'old', 'city', 'lyon', 'may', 'wish', 'start', 'cathedral', 'saone', 'facade', 'church', 'gorgeous', 'spire', 'gothic', 'style', 'entrance', 'decorated', 'square', 'ornate', 'squares', 'relief', 'astronomical', 'clock', 'north', 'wing', 'church', 'ring', 'bell', 'noon', 'little', 'clock', 'come', 'appear', 'international', 'museum', 'miniature', 'film', 'art', 'avenue', 'far', 'cathedral', 'small', 'exquisite', 'museum', 'contains', 'variety', 'miniature', 'film', 'scenes', 'world', 'like', 'stepping', 'country', 'lilliput', 'interesting', 'lyon', 'city', 'puppet', 'museum', 'lyon', 'city', 'puppet', 'museum', 'north', 'old', 'city', 'popular', 'complete', 'collection', 'puppets', 'world', 'visiting', 'break', 'museum', 'garden', 'cup', 'coffee', 'experience', 'long', 'history', 'city', 'creative', 'market', 'art', 'market', 'falls', 'sunday', 'go', 'creative', 'market', 'art', 'market', 'east', 'puppet', 'museum', 'marché', 'de', 'lacréation', 'et', 'marché', 'artisanal', 'sunday', 'morning', 'artists', 'lyon', 'gather', 'sell', 'works', 'paintings', 'sculptures', 'handicrafts', 'like', 'home', 'fourvière', 'cradle', 'lyon', 'birthplace', 'christianity', 'lyon', 'paths', 'winding', 'upwards', 'mountains', 'ropeway', 'mountain', 'starting', 'edouars', 'commette', 'square', 'mountain', 'prayer', 'birthplace', 'christianity', 'houses', 'baroque', 'church', 'lady', 'fourviere', 'century', 'well', 'lyon', 'roman', 'theatre', 'culture', 'museum', 'terraces', 'top', 'mountain', 'good', 'place', 'overlook', 'panoramic', 'view', 'city', 'peninsula', 'area', 'gathers', 'middle', 'two', 'rivers', 'good', 'place', 'enjoy', 'night', 'view', 'night', 'authentic', 'lyon', 'traditional', 'restaurants', 'bouchon', 'old', 'town', 'lyon', 'traditional', 'dishes', 'mainly', 'pork', 'eat', 'authentic', 'lyonian', 'dish', 'euros', 'including', 'salad', 'lyonnaise', 'pork', 'sausage', 'saucisson', 'pig', 'water', 'andouillettestripes']",None Related,590
MSAID,"['aids', 'mass', 'spectrometry', 'ai', 'providing', 'software', 'data', 'analysis', 'services', 'proteomics', 'using', 'powerful', 'machine', 'learning', 'algorithms']",Biotechnology,19
Maasai Mara National Reserve,"['masai', 'mara', 'national', 'reserve', 'famous', 'wildlife', 'reserve', 'world', 'animal', 'paradise', 'consists', 'open', 'plains', 'woodlands', 'rivers', 'forests', 'nearly', 'species', 'mammals', 'species', 'birds', 'live', 'home', 'wild', 'mammals', 'watch', 'zebras', 'giraffes', 'antelopes', 'foraging', 'grasslands', 'watch', 'rare', 'birds', 'monkeys', 'acacia', 'forests', 'abundance', 'elephants', 'bison', 'aesthetically', 'exhausting', 'mara', 'river', 'home', 'hippos', 'fierce', 'crocodiles', 'world', 'masai', 'mara', 'beautiful', 'year', 'round', 'celestial', 'journey', 'july', 'september', 'especially', 'spectacular', 'millions', 'clumsy', 'wildebeests', 'zebras', 'antelopes', 'search', 'sustenance', 'food', 'migrate', 'north', 'tanzania', 'serengeti', 'national', 'park', 'across', 'mara', 'river', 'towards', 'masai', 'mara', 'around', 'october', 'return', 'south', 'mention', 'masai', 'mara', 'romantic', 'sunset', 'spot', 'world', 'mirrored', 'sunset', 'vigorous', 'plants', 'vast', 'grasslands', 'quiet', 'leisurely', 'animals', 'complement', 'beautiful', 'scenery', 'seen', 'make', 'unforgettable', 'lifetime']",None Related,187
Mabion,"['mabion', 'first', 'biotech', 'companies', 'launched', 'poland', 'mabion', 'develops', 'biosimilar', 'antibody', 'drugs', 'offers', 'manufacturing', 'contract', 'services', 'company', 'advanced', 'project', 'biosimilar', 'roche', 'rituximab', 'antibody', 'used', 'treat', 'blood', 'cancer', 'arthritis', 'tested', 'phase', 'trials', 'mabion', 'developing', 'vaccine', 'antigens', 'part', 'collaboration', 'vaccine', 'development', 'company', 'novavax']",Biotechnology,69
Mabul Island,"['mabul', 'island', 'mabul', 'island', 'known', 'mabul', 'island', 'sandy', 'island', 'northeast', 'semporna', 'adjacent', 'sipadan', 'sipadan', 'boat', 'ride', 'island', 'top', 'diving', 'spots', 'world', 'visitors', 'swim', 'snorkel', 'dive', 'waters', 'near', 'mabul', 'island', 'rich', 'marine', 'life', 'tourists', 'familiar', 'water', 'watch', 'colorful', 'corals', 'starfish', 'fish', 'seabed', 'corridor', 'water', 'house', 'various', 'holiday', 'houses', 'water', 'houses', 'island', 'providing', 'tourists', 'different', 'accommodation', 'experience']",None Related,103
Malacca River,"['malacca', 'river', 'small', 'narrow', 'strait', 'connects', 'malay', 'peninsula', 'sumatra', 'however', 'long', 'narrow', 'ocean', 'passage', 'carries', 'necessary', 'passage', 'indian', 'ocean', 'pacific', 'ocean', 'boating', 'activities', 'malacca', 'river', 'held', 'every', 'day', 'registration', 'office', 'tourist', 'center', 'office', 'behind', 'pier', 'tour', 'takes', 'minutes', 'travels', 'way', 'city', 'old', 'warehouses', 'fish', 'markets', 'pass', 'kampungmorten', 'typical', 'malay', 'village', 'house', 'called', 'villasentosa', 'return', 'journey', 'pass', 'various', 'piers', 'along', 'river', 'yachts', 'provided', 'tourists', 'islands', 'straits', 'malacca', 'play']",None Related,126
Malacca Strait,"['strait', 'malacca', 'strait', 'malay', 'peninsula', 'sumatra', 'named', 'malacca', 'ancient', 'city', 'malaysia', 'along', 'coast', 'northwest', 'end', 'strait', 'connects', 'andaman', 'sea', 'indian', 'ocean', 'southeast', 'end', 'connects', 'south', 'china', 'sea', 'jointly', 'managed', 'singapore', 'malaysia', 'indonesia', 'strait', 'equatorial', 'windless', 'zone', 'calm', 'days', 'throughout', 'year', 'bottom', 'strait', 'flat', 'mostly', 'sandy', 'water', 'flow', 'gentle', 'indispensable', 'attraction', 'visiting', 'malacca']",None Related,101
Mammoth Biosciences,"['mammoth', 'biosciences', 'uses', 'crispr', 'technology', 'develop', 'technologies', 'diagnostics', 'industries', 'healthcare', 'agriculture', 'manufacturing', 'forensics', 'genome', 'editing', 'therapeutics']",Biotechnology,24
Mantanani Islands,"['mermaid', 'island', 'known', 'mantanani', 'island', 'northwest', 'waters', 'kuta', 'maurit', 'town', 'mermaid', 'islands', 'divided', 'three', 'islands', 'namely', 'mantanani', 'besar', 'island', 'little', 'mermaid', 'island', 'mantanani', 'kechil', 'island', 'lungisan', 'island', 'tourists', 'live', 'great', 'mermaid', 'island', 'island', 'stretches', 'white', 'sand', 'simple', 'fishermen', 'coconut', 'trees', 'swaying', 'wind', 'photos', 'regarded', 'scenic', 'postcards', 'diving', 'spots', 'developed', 'island', 'suitable', 'beginners', 'experienced', 'divers', 'vast', 'ocean', 'world', 'tourists', 'unique', 'underwater', 'creatures', 'two', 'resorts', 'island', 'marimari', 'iconic', 'stilt', 'chalet', 'resort', 'bembaran', 'ordinary', 'chalet', 'beautiful', 'sunset', 'marimari', 'side', 'fishermen', 'island', 'warm', 'simple', 'friendly', 'pictures', 'going', 'beach', 'way', 'right', 'trestle', 'leads', 'directly', 'sea', 'good', 'place', 'watch', 'sunset', 'evening', 'entertainment', 'fireflies', 'major', 'attraction', 'lucky', 'small', 'creature', 'blue', 'shimmer', 'beach', 'buried', 'sand', 'placed', 'palm', 'hand', 'like', 'star', 'blue', 'tears', 'island', 'morning', 'must', 'enjoy', 'sunrise', 'overlooking', 'mountain', 'opposite', 'unforgettable', 'lifetime']",None Related,255
Manukan Island,"['manukan', 'island', 'five', 'islands', 'kota', 'kinabalu', 'tunku', 'abdul', 'rahman', 'national', 'park', 'large', 'size', 'north', 'side', 'island', 'rocky', 'coast', 'beaches', 'south', 'east', 'suitable', 'swimming', 'island', 'popular', 'tourists', 'facilities', 'hotels', 'restaurants', 'souvenir', 'shops', 'diving', 'centers', 'island', 'rich', 'activities', 'snorkeling', 'deep', 'diving', 'parasailing', 'jet', 'boating', 'underwater', 'walks', 'sea', 'bikes', 'full', 'fun', 'island', 'covered', 'large', 'rainforests', 'climb', 'mountain', 'look', 'surrounding', 'islands', 'mountain', 'top']",None Related,110
Maruyama Park,"['yuanshan', 'park', 'earlier', 'park', 'east', 'side', 'yasaka', 'shrine', 'covers', 'area', 'square', 'meters', 'circle', 'swimming', 'pool', 'spring', 'courtyard', 'central', 'area', 'surrounded', 'snack', 'bars', 'tea', 'houses', 'cherry', 'blossom', 'viewing', 'area', 'kyoto', 'beautiful', 'scenery', 'year', 'round', 'weeping', 'cherry', 'trees', 'years', 'old', 'precious', 'variety', 'cherry', 'blossoms', 'night', 'cherry', 'blossoms', 'diyuan', 'program', 'flower', 'viewing', 'season', 'park', 'designated', 'scenic', 'spot', 'reason', 'every', 'summer', 'saturday', 'field', 'music', 'hall', 'special', 'concert']",None Related,120
Masjid Bandaraya Kota Kinabalu,"['floating', 'mosque', 'known', 'kota', 'kinabalu', 'city', 'mosque', 'shores', 'likas', 'bay', 'northeastern', 'side', 'downtown', 'kota', 'kinabalu', 'mosque', 'classic', 'example', 'contemporary', 'islamic', 'architecture', 'offers', 'unforgettable', 'view', 'sunset', 'stunning', 'scenery', 'features', 'white', 'mosque', 'reflected', 'lake', 'surrounding', 'accented', 'backdrop', 'clear', 'blue', 'sky']",None Related,66
MassRobotics,"['massrobotics', 'independent', 'organization', 'serving', 'innovation', 'hub', 'robotics', 'smart', 'connected', 'devices', 'expanded', 'robotics', 'innovation', 'center', 'boston', 'nurture', 'innovations', 'industrial', 'automation', 'interaction']",Robotic,33
Mataking Island,"['madatin', 'island', 'northern', 'upper', 'end', 'mabul', 'island', 'near', 'sipadan', 'island', 'private', 'island', 'belonging', 'thereefdiveresort', 'resort', 'building', 'traditional', 'malaysian', 'design', 'island', 'hotel', 'gorgeous', 'cabins', 'diving', 'centers', 'suitable', 'diving', 'diving', 'vacation', 'come', 'dive', 'enjoy', 'vacation', 'feeling', 'marine', 'ecology', 'inhabiting', 'waters', 'maagin', 'covers', 'plankton', 'larger', 'marine', 'species', 'attracting', 'underwater', 'photographers', 'novice', 'divers', 'even', 'professional', 'divers', 'east', 'coast', 'madin', 'island', 'coral', 'cliff', 'sloping', 'depth', 'meters', 'west', 'coral', 'cliffs', 'depth', 'meters', 'divers', 'commented', 'vividly', 'colored', 'corals', 'seabed', 'madagain', 'indeed', 'paradise', 'kinds', 'marine', 'life', 'marine', 'species', 'appear', 'include', 'resident', 'rainbow', 'batfish', 'wrasse', 'barracuda', 'hawksbill', 'lobster', 'giant', 'clams', 'rays', 'addition', 'net', 'red', 'sea', 'swing', 'exploded', 'ins', 'reasons', 'attracting', 'tourists']",None Related,192
Maxar Technologies,"['offers', 'products', 'systems', 'support', 'number', 'industries', 'focusing', 'largely', 'space', 'tech', 'benefits', 'provides', 'earth', 'satellite', 'robotic', 'surveillance', 'technology', 'allow', 'maxar', 'technologies', 'contribute', 'dynamic', 'mission', 'success', 'providing', 'mapping', 'analytics', 'capabilities', 'deliver', 'groundbreaking', 'knowledge', 'energy', 'mining', 'telecommunications', 'commercial', 'mapping', 'industries']",Aerospace,56
Maxon Motors,"['manufacturer', 'supplier', 'motor', 'systems', 'group', 'including', 'subsidiaries', 'offers', 'electric', 'ac', 'motors', 'dc', 'motors', 'encoders', 'gears', 'motor', 'controllers', 'sensors']",Robotic,24
Mecademic,"['mecademic', 'specializes', 'industrial', 'robots', 'capable', 'pick', 'place', 'lab', 'automation', 'small', 'footprint', 'industrial', 'robot', 'arm', 'reach', 'mm', 'maximum', 'payload', 'capacity', 'kg', 'sensors', 'wireless', 'connectivity', 'capable', 'gathering', 'data', 'analysis', 'lead', 'improved', 'efficiency', 'informed']",Robotic,63
Medina of Marrakech,"['old', 'town', 'marrakech', 'known', 'medina', 'central', 'area', 'marrakech', 'old', 'mosque', 'huge', 'traditional', 'market', 'countless', 'restaurants', 'cafes', 'spend', 'whole', 'day', 'shopping', 'locals', 'find', 'rooftop', 'cafe', 'tourists', 'enjoy', 'sunset', 'pot', 'mint', 'tea']",None Related,64
Megalo Meteoro Monastery,"['meteora', 'monastery', 'spectacular', 'buildings', 'area', 'listed', 'world', 'natural', 'heritage', 'site', 'century', 'higher', 'rocky', 'hill', 'valley', 'altitude', 'meters', 'unique', 'church', 'high', 'cliff', 'floating', 'air', 'makes', 'feel', 'like', 'pure', 'land', 'isolated', 'world', 'architectural', 'pattern', 'meteora', 'monastery', 'reflects', 'status', 'main', 'monastery', 'room', 'skulls', 'deceased', 'monks', 'displayed', 'clothes', 'worn', 'early', 'monks', 'collected', 'group', 'frescoes', 'martydom', 'saints', 'monastery']",None Related,126
Melaka Straits Mosque,"['malacca', 'straits', 'mosque', 'artificial', 'island', 'malacca', 'water', 'level', 'high', 'looks', 'like', 'floating', 'building', 'straits', 'mosque', 'sunset', 'beautiful', 'sound', 'chanting', 'radio', 'sound', 'waves', 'intertwined', 'golden', 'dome', 'reflected', 'setting', 'sun', 'dark', 'mosque', 'light', 'whole', 'building', 'turn', 'another', 'color', 'unique', 'charm']",None Related,77
Melinta Therapeutics,"['focuses', 'design', 'development', 'novel', 'antibiotics', 'treatment', 'infections', 'hospital', 'settings']",Biotechnology,19
Mengalum Island,"['island', 'named', 'shape', 'resembles', 'ring', 'making', 'popular', 'destination', 'newlyweds', 'lovers', 'travel', 'around', 'island', 'eventually', 'come', 'back', 'started', 'symbolizing', 'eternal', 'love', 'island', 'open', 'late', 'resort', 'making', 'stay', 'island', 'fun', 'relaxing']",None Related,56
Merck & Co,"['develops', 'produces', 'medicines', 'vaccines', 'biologic', 'therapies', 'animal', 'health', 'products', 'multiple', 'blockbuster', 'drugs', 'products', 'revenues', 'including', 'cancer', 'immunotherapy', 'medication', 'vaccines', 'hpv', 'chickenpox']",Biotechnology,33
Merdeka Square,"['merdeka', 'square', 'center', 'jakarta', 'known', 'modica', 'square', 'surrounding', 'streets', 'wide', 'tidy', 'dotted', 'flowers', 'trees', 'greenery', 'full', 'greenery', 'locals', 'leisurely', 'walk', 'independence', 'square', 'centered', 'indonesian', 'national', 'independence', 'monument', 'ministry', 'defense', 'compound', 'central', 'museum', 'west', 'street', 'gambir', 'railway', 'station', 'east', 'southeast', 'corner', 'square', 'group', 'carriage', 'sculptures', 'shaped', 'according', 'storyline', 'epic', 'mahabharata', 'spectacular', 'musical', 'fountain', 'park', 'west', 'side', 'monument']",None Related,115
Merdeka Square,"['dataran', 'merdeka', 'independence', 'square', 'kuala', 'lumpur', 'historically', 'politcally', 'significant', 'landmarks', 'malaysian', 'flag', 'first', 'raised', 'symbolize', 'independence', 'british', 'rule', 'currently', 'tall', 'flagpole', 'stands', 'southern', 'end', 'square', 'portraits', 'present', 'prime', 'minister', 'past', 'prime', 'ministers', 'malaysia', 'sit', 'beneath', 'flagpole', 'buildings', 'encircling', 'merdeka', 'square', 'rich', 'diverse', 'style', 'architecture', 'include', 'everything', 'british', 'buildings', 'islamic', 'architecture', 'guildhouses', 'distant', 'skyscrapers', 'buildings', 'tells', 'part', 'story', 'malaysia', 'colonial', 'history']",None Related,98
Miami Beach Boardwalk,"['miami', 'seaside', 'boulevard', 'viewing', 'road', 'close', 'sea', 'beautiful', 'place', 'casablanca', 'famous', 'local', 'attractions', 'hassan', 'ii', 'mosque', 'rick', 'cafe', 'around', 'seaside', 'boulevard', 'wide', 'driveway', 'side', 'driveway', 'facing', 'sea', 'spacious', 'wooden', 'plank', 'road', 'handrail', 'overlook', 'blue', 'atlantic', 'ocean', 'part', 'stretches', 'beach', 'balustrade', 'plank', 'road', 'row', 'closely', 'connected', 'cafes', 'bars', 'swimming', 'pools', 'full', 'leisurely', 'holiday', 'atmosphere', 'corner', 'seaside', 'boulevard', 'south', 'almost', 'end', 'local', 'coffee', 'shop', 'miami', 'boulevard', 'named', 'miami', 'cafe', 'high', 'embankment', 'facing', 'water', 'sides', 'sitting', 'open', 'courtyard', 'endless', 'atlantic', 'ocean', 'front', 'sunset', 'extraordinarily', 'beautiful', 'side', 'miami', 'seaside', 'boulevard', 'close', 'city', 'anfa', 'villa', 'district', 'among', 'hidden', 'trees', 'equipped', 'horse', 'farm', 'golf', 'course', 'house', 'private', 'security', 'outsiders', 'allowed', 'enter', 'without', 'invitation', 'said', 'international', 'movie', 'stars', 'celebrities', 'europe', 'united', 'states', 'residences']",None Related,226
Microsoft,"['microsoft', 'released', 'robot', 'operating', 'system', 'ros', 'windows', 'widely', 'used', 'platform', 'provides', 'robotics', 'developers', 'variety', 'powerful', 'libraries', 'tools', 'developing', 'deploying', 'robotics', 'solutions']",Robotic,32
Middle of the World City,"['ecuadorian', 'equator', 'monument', 'divided', 'two', 'old', 'new', 'old', 'monument', 'completed', 'town', 'san', 'antonio', 'longitude', 'west', 'latitude', 'intersect', 'kilometers', 'away', 'capital', 'quito', 'monument', 'meters', 'high', 'column', 'engraved', 'four', 'spanish', 'letters', 'representing', 'east', 'west', 'south', 'north', 'commemorate', 'french', 'ecuadorian', 'scientists', 'contributed', 'measurement', 'equator', 'construction', 'stele', 'stele', 'engraved', 'center', 'earth', 'top', 'stele', 'large', 'stone', 'globe', 'white', 'center', 'line', 'symbolizing', 'equator', 'connected', 'top', 'bottom', 'white', 'lines', 'steps', 'east', 'west', 'sides', 'stele', 'white', 'line', 'divides', 'earth', 'two', 'parts', 'north', 'south', 'every', 'year', 'march', 'september', 'sun', 'passes', 'equator', 'directly', 'hits', 'equator', 'global', 'day', 'night', 'equal', 'time', 'ecuadorians', 'hold', 'grand', 'event', 'welcome', 'sun', 'god', 'thank', 'sun', 'bringing', 'warmth', 'mankind', 'ecuadorians', 'call', 'monument', 'half', 'world', 'tourists', 'like', 'stand', 'stone', 'steps', 'pictures', 'feet', 'sides', 'white', 'line', 'show', 'standing', 'north', 'south', 'hemispheres', 'time', 'announced', 'united', 'nations', 'world', 'cultural', 'heritage', 'ecuadorian', 'government', 'decided', 'build', 'new', 'equatorial', 'monument', 'equinocial', 'valley', 'near', 'monument', 'new', 'monument', 'completed', 'august', 'appearance', 'basically', 'old', 'monument', 'older', 'old', 'monument', 'three', 'times', 'larger', 'meters', 'high', 'meters', 'diameter', 'tons', 'weight', 'things', 'monument', 'inscribed', 'west', 'greenwich', 'latitude', 'elevator', 'monument', 'watchtower', 'installed', 'top', 'monument', 'front', 'monument', 'long', 'stone', 'passage', 'stone', 'sculpture', 'groups', 'sides', 'passage', 'anyone', 'travels', 'quito', 'receive', 'certificate', 'issued', 'management', 'department', 'prove', 'visited', 'dividing', 'line', 'northern', 'southern', 'hemispheres', 'certain', 'day', 'certain', 'year', 'addition', 'somali', 'equator', 'monument', 'kilometers', 'north', 'kismayo', 'port', 'city', 'southern', 'somalia', 'concrete', 'building', 'globe', 'pointer', 'top', 'mark', 'equator']",None Related,458
Milford Sound / Piopiotahi,"['milford', 'sound', 'natural', 'wonder', 'glacial', 'landform', 'south', 'west', 'fiordland', 'national', 'park', 'south', 'island', 'new', 'zealand', 'steep', 'jagged', 'cliffs', 'emerge', 'calm', 'dark', 'waters', 'lush', 'rainforest', 'grows', 'rock', 'walls', 'waterfalls', 'plunge', 'hundreds', 'meters', 'sea', 'beautiful', 'road', 'world', 'road', 'queenstown', 'fiordland', 'known', 'beautiful', 'roads', 'world', 'along', 'way', 'passes', 'scenic', 'spots', 'mirror', 'lake', 'trails', 'homer', 'tunnel', 'small', 'waterfalls', 'formed', 'melting', 'snow', 'enjoy', 'scenery', 'fjord', 'cruise', 'ship', 'water', 'tour', 'milford', 'sound', 'main', 'way', 'enjoy', 'beauty', 'fjord', 'sightseeing', 'boat', 'slowly', 'leaves', 'pier', 'milford', 'sound', 'baowen', 'waterfall', 'meters', 'high', 'wind', 'strong', 'water', 'waterfall', 'splash', 'pier', 'opposite', 'side', 'waterfall', 'small', 'gravel', 'pile', 'called', 'small', 'cemetery', 'resting', 'place', 'whalers', 'sealers', 'lived', 'nearby', 'continue', 'drive', 'forward', 'left', 'towering', 'matthew', 'peak', 'stands', 'directly', 'sea', 'side', 'lion', 'mountain', 'elephant', 'mountain', 'vivid', 'names', 'far', 'away', 'tongjiao', 'relatively', 'channel', 'fjord', 'wind', 'strong', 'passes', 'mountains', 'wind', 'amazing', 'boat', 'comes', 'fairy', 'falls', 'bow', 'boat', 'meet', 'directly', 'waterfall', 'water', 'waterfall', 'drinkable', 'looking', 'tasman', 'sea', 'boat', 'boat', 'slowly', 'turn', 'around', 'fjord', 'fjord', 'cruise', 'basically', 'complete', 'airplane', 'tours', 'sea', 'kayaking', 'tours', 'two', 'great', 'ways', 'experience', 'mountains', 'waterfalls', 'sheer', 'cliffs', 'sightseeing', 'boats', 'underwater', 'viewing', 'windows', 'allowing', 'tourists', 'observe', 'coral', 'reefs', 'marine', 'landscapes', 'bottom', 'water', 'dolphins', 'fjord', 'penguins', 'seals', 'aquatic', 'creatures', 'seen', 'fjord', 'especially', 'seal', 'headland', 'large', 'number', 'young', 'seals', 'often', 'gather', 'filming', 'locations', 'lord', 'rings', 'filming', 'locations', 'lord', 'rings', 'attracts', 'fans', 'place']",None Related,410
Milford Sound Scenic Cruises,"['milford', 'sound', 'modern', 'spacious', 'milford', 'sound', 'cruise', 'unobstructed', 'views', 'outside', 'boat', 'area', 'interior', 'cabin', 'boat', 'features', 'comfortable', 'indoor', 'lounge', 'large', 'panoramic', 'picture', 'windows', 'allowing', 'waterfalls', 'wildlife', 'close', 'bow', 'spacious', 'upper', 'outdoor', 'deck', 'look', 'directly', 'water', 'captain', 'provide', 'informative', 'commentary', 'cruise', 'play', 'commentary', 'languages', 'certain', 'times']",None Related,82
Miradouro da Senhora do Monte,"['observatory', 'lady', 'hill', 'front', 'chapel', 'lady', 'hill', 'parish', 'grace', 'lisbon', 'capital', 'portugal', 'tagus', 'river', 'são', 'jorge', 'castle', 'lower', 'pombal', 'upper', 'lisbon', 'monsanto', 'forest', 'park']",None Related,50
Miso Robotics,"['creates', 'ai', 'robots', 'use', 'commercial', 'kitchens', 'fry', 'station', 'robot', 'flippy', 'uses', 'ai', 'vision', 'recognize', 'kind', 'food', 'employees', 'placed', 'auto', 'bin', 'miso', 'says', 'robot', 'perform', 'twice', 'food', 'prep', 'tasks', 'compared', 'original', 'flippy', 'model']",Robotic,50
Mitsubishi Electric,"['company', 'industrial', 'robotics', 'division', 'specialises', 'robots', 'assembly', 'applications', 'providing', 'solutions', 'packing', 'palletizing', 'tending', 'assembling', 'handling', 'processing']",Robotic,25
Moderna,"['moderna', 'inc', 'pharmaceutical', 'biotechnology', 'company', 'based', 'cambridge', 'massachusetts', 'focuses', 'rna', 'therapeutics', 'primarily', 'mrna', 'vaccines', 'vaccines', 'use', 'copy', 'molecule', 'called', 'messenger', 'rna', 'mrna', 'carry', 'instructions', 'proteins', 'produce', 'immune', 'company', 'name', 'derived', 'terms', 'modified', 'rna', 'modern']",Biotechnology,53
Molecure,"['molecure', 'innovative', 'biopharmaceutical', 'company', 'dedicated', 'discovering', 'developing', 'commercializing', 'novel', 'therapeutics', 'neoplastic', 'inflammatory', 'diseases']",Biotechnology,19
Monserrate,"['montserrat', 'mountain', 'bogota', 'colombia', 'scenery', 'beautiful', 'cable', 'car', 'mountain', 'enjoy', 'beautiful', 'scenery', 'mountains', 'along', 'way', 'standing', 'top', 'mountain', 'overlook', 'whole', 'view', 'bogota', 'white', 'church', 'mountain', 'places', 'drink', 'coffee', 'good', 'place', 'morning', 'exercise', 'leisure', 'night', 'view', 'whole', 'city', 'top', 'mountain', 'dinner', 'restaurant', 'top', 'mountain', 'enjoy', 'view', 'eating', 'cable', 'car', 'mountain', 'runs', 'every', 'minutes']",None Related,127
