,Place,Details,Class,Cleaned_Details
757,Piazza Navona,"Piazza Navona is adjacent to the Pantheon, where there are Baroque palace buildings, exquisite fountains, romantic cafes and other buildings. Three fountains The three fountains on the square are a must-see art work, completed by the sculptor Bernini in 1651, this white marble fountain is carved with four exquisite figures representing the Nile, Danube, Ganges and Ra Plata River. The obelisk placed over the crack of the building is a Roman imitation, and the names of Vespasian, Titus and Domitian are engraved in hieroglyphs on Egyptian granite . The other two fountains, the Poseidon Fountain and the Moorish Fountain, are located at the north and south ends of the square, respectively. The Moorish fountain was also designed by Bernini. The figure in the middle of the fountain is the god of the swamp. Pleasant to listen to. The buildings around the square are also beautiful, and there are many art treasures inside. Opposite the Four Rivers Fountain is the Church of Sant'Agnese in Agone. The facade of the church was designed by the Baroque architect Borromini. The circular vaults and angel reliefs are beautiful. The authentic works of Raphael and Caravaggio are not to be missed. The San Luigidei Francesi on the north side of Piazza Navona is a gray and white marble building with brilliant gold inside and a collection of Caravaggio's ""San Marco Picture"", which can be called an artistic treasure. There is also a market on the square, with everything from vegetables, fruits, dried fruits and spices to handicrafts, and it is fun to walk around. If you are tired, you can go to the restaurants or cafes next to the square to have a full meal. All restaurants have open-air seats. When the weather is fine, you can enjoy Italian food on the open-air seats. In addition, there are several well-known ice cream shops in Piazza Navona. You might as well buy one and taste it, sit down on the stone steps around the square, watch the wonderful performances of street performers in the square, admire the beautiful buildings, and observe the artist's concentration. look... enjoy a leisurely Roman holiday.",None Related,piazza navona adjacent pantheon baroque palace buildings exquisite fountains romantic cafes buildings three fountains three fountains square art work completed sculptor bernini 1651 white marble fountain carved four exquisite figures representing nile danube ganges ra plata river obelisk placed crack building roman imitation names vespasian titus domitian engraved hieroglyphs egyptian granite two fountains poseidon fountain moorish fountain located north south ends square respectively moorish fountain also designed bernini figure middle fountain god swamp pleasant listen buildings around square also beautiful many art treasures inside opposite four rivers fountain church agone facade church designed baroque architect borromini circular vaults angel reliefs beautiful authentic works raphael caravaggio missed san luigidei francesi north side piazza navona gray white marble building brilliant gold inside collection caravaggio san marco picture called artistic treasure also market square everything vegetables fruits dried fruits spices handicrafts fun walk around tired go restaurants cafes next square full meal restaurants seats weather fine enjoy italian food seats addition several ice cream shops piazza navona might well buy one taste sit stone steps around square watch wonderful performances street performers square admire beautiful buildings observe artist concentration look enjoy leisurely roman holiday
758,Piazza Venezia,"Piazza Venezia is a circular square in Rome, modeled after the square of San Marco in Venice. There are many historical buildings, museums and art galleries around the square. It is also an important transportation hub and is a must for tourists to walk to Plaza de España and the Mouth of Truth.",None Related,piazza venezia circular square rome modeled square san marco venice many historical buildings museums art galleries around square also important transportation hub must tourists walk plaza de españa mouth truth
759,Piazza della Signoria,"The Plaza Mayor has the reputation of an open-air sculpture museum, surrounded by the Uffizi Gallery, mercenary pavilions and numerous cafes and bars. The well-known Cathedral of Santa Maria del Fiore is located just north of it, about 200 meters away, and can be reached on foot from the alley. After visiting the square, turn a corner to the nearby Uffizi Gallery. The name of the Plaza Mayor is closely related to the current town hall, the old palace of the Medici family. The Old Palace is still in use and is located in a conspicuous position in the square, still overlooking the entire square. After several renovations, its architectural style has obvious period features. The exterior features medieval architecture, and after becoming the official residence of the Grand Duke Cosimo I of the Medici family in the 16th century, the interior features Renaissance architecture. The entrance to the Palazzo Vecchio is decorated with the city coat of arms, and there are numerous sculptures in the hall on the first floor, including Michelangelo's Triumph. Inside is a museum and a council hall for five hundred people. The council hall is not allowed to visit, but the tower can be climbed to the top. The tower is 94 meters high, like a crown of the Palazzo Vecchio, from which you can overlook the Cathedral of Santa Maria del Fiore. There is a row of sculptures at the entrance of the Palazzo Vecchio. The most famous one is Michelangelo's ""David"", but the original work has been moved to the Florence Academy Gallery in 1873. To the left of the Palazzo Vecchio is the beautiful Langche loggia in late Gothic style. It houses a group of important sculptures, among which is a Perseus by Benoto Cellini. ""Perseus"" is a bronze sculpture depicting a fit young man holding a bloody Medusa's head aloft in his left hand, a knife in his right, and his left leg bent. The enemy's body is at his feet. The high base of the sculpture and the intricate pattern engraving show the author's skill. On the right side of the Old Palace is the ""Poseidon Fountain"". On the two-wheeled chariot in the middle of the pool stands a huge white statue of Poseidon, the god of the sea. There are also colorful bronze statues around the pool. To the north of the pond stands the equestrian statue of Cosimo I of the Medici family, created by Chapter Bologna, which bears witness to more Florentine history than anything else here. The square is surrounded by simple historical buildings. Passing through the Town Hall Square in the evening, you can hear the performers playing the violin. The sound of the piano wafts and is intoxicating. When there are many tourists in summer, there will be entertainers dancing in the square.",None Related,plaza mayor reputation sculpture museum surrounded uffizi gallery mercenary pavilions numerous cafes bars cathedral santa maria del fiore located north 200 meters away reached foot alley visiting square turn corner nearby uffizi gallery name plaza mayor closely related current town hall old palace medici family old palace still use located conspicuous position square still overlooking entire square several renovations architectural style obvious period features exterior features medieval architecture becoming official residence grand duke cosimo medici family 16th century interior features renaissance architecture entrance palazzo vecchio decorated city coat arms numerous sculptures hall first floor including michelangelo triumph inside museum council hall five hundred people council hall allowed visit tower climbed top tower 94 meters high like crown palazzo vecchio overlook cathedral santa maria del fiore row sculptures entrance palazzo vecchio famous one michelangelo david original work moved florence academy gallery left palazzo vecchio beautiful langche loggia late gothic style houses group important sculptures among perseus benoto cellini perseus bronze sculpture depicting fit young man holding bloody medusa head aloft left hand knife right left leg bent enemy body feet high base sculpture intricate pattern engraving show author skill right side old palace poseidon fountain chariot middle pool stands huge white statue poseidon god sea also colorful bronze statues around pool north pond stands equestrian statue cosimo medici family created chapter bologna bears witness florentine history anything else square surrounded simple historical buildings passing town hall square evening hear performers playing violin sound piano wafts intoxicating many tourists summer entertainers dancing square
760,Piazza di Spagna,"The Plaza de España once appeared in the movie ""Roman Holiday"" and became the name card of Rome that everyone knows. Hepburn's fresh and bright shadow seems to have been integrated with the Plaza de España and the beautiful Rome, and it has become a memory that people will never forget. Spanish Steps The entire Plaza de España is not large, and the crowd is mainly concentrated near the Spanish Steps. There are 138 steps in total, which are the widest steps in Europe. In the past, it was regarded as a play paradise by young people from all over the world. They could eat, drink, party, dance, play and sing on the steps and have fun day and night. Today it is one of the more popular sightseeing spots in Rome and one of the Romans' favorite date spots. However, you can no longer eat on the steps, posing for photos with ice cream is prohibited, and you are also not allowed to drink on the steps. At the same time, street performers are also not allowed to play guitar performances on the steps. The Holy Trinity Church walks up the steps and comes to the Holy Trinity Church on the mountain. From the pair of bell towers in the church, it can be seen that it is a Gothic building, which is different from the Baroque style that is more common in Rome. The luxurious and refined feel. Standing on the platform in front of the church, you can overlook the entire Plaza de España. In addition, the more famous scenic spot on the square is a Baroque art fountain in front of the steps, which is called the Broken Ship Fountain. The original fountain was small and inconspicuous, and because of the low water pressure, even the water in the fountain was tiny. The designer made a boat that was half-submerged in the pool outside the original fountain. The water from the fountain first flows into the broken ship, and then slowly overflows from the four sides of the ship. In addition, the entire fountain is almost as high as the street level, and it really feels like a leaking ship is about to sink into the ground. In ""Roman Holiday"", Hepburn is sitting on the steps next to the fountain, eating ice cream. Many tourists stand at the fountain and take their cameras up to take pictures, so that they can take a panoramic view of the Spanish Steps and the Holy Trinity Church. Shelley Memorial In addition to the above-mentioned three famous attractions, there were many artistic celebrities in the area of Plaza de España. The Keats Shelley Memorial is next to the Spanish Steps. The memorial hall displays their manuscripts, letters, photos and other rich materials, and is a must-see for literature lovers.",None Related,plaza de españa appeared movie roman holiday became name card rome everyone knows hepburn fresh bright shadow seems integrated plaza de españa beautiful rome become memory people never forget spanish steps entire plaza de españa large crowd mainly concentrated near spanish steps 138 steps total widest steps europe past regarded play paradise young people world could eat drink party dance play sing steps fun day night today one popular sightseeing spots rome one romans favorite date spots however longer eat steps posing photos ice cream prohibited also allowed drink steps time street performers also allowed play guitar performances steps holy trinity church walks steps comes holy trinity church mountain pair bell towers church seen gothic building different baroque style common rome luxurious refined feel standing platform front church overlook entire plaza de españa addition famous scenic spot square baroque art fountain front steps called broken ship fountain original fountain small inconspicuous low water pressure even water fountain tiny designer made boat pool outside original fountain water fountain first flows broken ship slowly overflows four sides ship addition entire fountain almost high street level really feels like leaking ship sink ground roman holiday hepburn sitting steps next fountain eating ice cream many tourists stand fountain take cameras take pictures take panoramic view spanish steps holy trinity church shelley memorial addition three famous attractions many artistic celebrities area plaza de españa keats shelley memorial next spanish steps memorial hall displays manuscripts letters photos rich materials literature lovers
761,Piazzale Michelangelo,"Piazzale Michelangelo is located on the south bank of the Arno River, on the high ground at the southern end of downtown Florence. It is a good location for overlooking and photographing the beauty of Florence. Many tourists use it as the starting point for visiting Florence. Piazzale Michelangelo was built in 1869 by architect Giuseppe Poggi to commemorate the great Renaissance artist Michelangelo. Poggi also designed a gorgeous terrace, which is now a panoramic restaurant. It was originally planned to open a museum of Michelangelo's works here, but this plan failed to materialize. On the terrace wall is the following inscription: ""The Florentine architect Giuseppe Poggi, here is his monument"". Now Piazzale Michelangelo is a large parking lot. Most tourists come here to see the scenery of Florence. You can see the whole city: Cathedral of Santa Maria del Fiore, Giotto Campanile, Bargello Museum , Old Bridge, etc. It is also a good location to watch the sunrise and sunset, when the sun rises or sets, the city of Florence glows with different brilliance.",None Related,piazzale michelangelo located south bank arno river high ground southern end downtown florence good location overlooking photographing beauty florence many tourists use starting point visiting florence piazzale michelangelo built 1869 architect giuseppe poggi commemorate great renaissance artist michelangelo poggi also designed gorgeous terrace panoramic restaurant originally planned open museum michelangelo works plan failed materialize terrace wall following inscription florentine architect giuseppe poggi monument piazzale michelangelo large parking lot tourists come see scenery florence see whole city cathedral santa maria del fiore giotto campanile bargello museum old bridge etc also good location watch sunrise sunset sun rises sets city florence glows different brilliance
762,Pitti Palace,"Palazzo Pitti in Florence is a Renaissance palace built by the Pitti family and now consists of the Royal Apartments, Palatine Gallery, Museum of Modern Art, Boboli Gardens, Costume Museum, Porcelain Museum and Silver Museum composition. The Pitti Palace is located on the south bank of the Arno River, very close to the Old Bridge and can be reached in about 10 minutes. Palazzo Pitti was originally the residence of the Florentine banker Luca Pitti, later purchased by the Medici family and served as the main residence of the Grand Duke of Tuscany. Over the generations, the Pitti Palace has stored a large amount of paintings, jewels and valuable treasures. Later, in the late 18th century, the Pitti Palace was used as the center of Napoleon Bonaparte's power, and the unified new Italian royal family also briefly lived here. The palace and the collection were later donated to the Italian people and opened to the public as the largest art gallery in Florence.",None Related,palazzo pitti florence renaissance palace built pitti family consists royal apartments palatine gallery museum modern art boboli gardens costume museum porcelain museum silver museum composition pitti palace located south bank arno river close old bridge reached 10 minutes palazzo pitti originally residence florentine banker luca pitti later purchased medici family served main residence grand duke tuscany generations pitti palace stored large amount paintings jewels valuable treasures later late 18th century pitti palace used center napoleon bonaparte power unified new italian royal family also briefly lived palace collection later donated italian people opened public largest art gallery florence
763,Place Masséna,"Place Masséna is one of the more lively squares in Nice. It was built around the 1730s and now connects the old town and the new town of Nice. The northern half of the square is rectangular and the southern half is semi-circular. The ground is made of black and white stones to form a lattice shape, with 36 stone pine trees in the middle. There are tourist information offices, a central bus stop, banks, shops, Lafayette department stores, and numerous restaurants and cafés on both sides of the square. You can also see many street performers performing in the square, and there are street performances or float parades in the evening. There is a large fountain on the square, the bronze decoration on the fountain symbolizes the major planets of the solar system, and the seven sculptures designed by the Spanish artist Jaume Plensa: ""Conversation à Nice"" representing seven continents.",None Related,place masséna one lively squares nice built around 1730s connects old town new town nice northern half square rectangular southern half ground made black white stones form lattice shape 36 stone pine trees middle tourist information offices central bus stop banks shops lafayette department stores numerous restaurants cafés sides square also see many street performers performing square street performances float parades evening large fountain square bronze decoration fountain symbolizes major planets solar system seven sculptures designed spanish artist jaume plensa conversation à nice representing seven continents
764,Place de la Concorde,"Place de la Concorde is one of the famous squares and beautiful squares in France. During the French Revolution, Louis XVI and Queen Mary were executed here. Geographical location Place de la Concorde is an octagon surrounded by a moat, with the Seine River to the south, and the Palais Bourbon, the seat of the French National Assembly on the left bank, connected to the Concorde Bridge on the river. Between the east and the Louvre is the Tuileries Garden, which used to be the Royal Palace of France and was burned down by the Paris Commune in 1871. There are tennis courts, a modern art gallery and an orangery art gallery in the garden. To the west of the square is the eastern starting point of the Champs-Elysées, which leads directly to Place Charles de Gaulle, where the Arc de Triomphe in Paris is located. To the north of the square are two buildings of the same style, the French Admiralty in the east and the Clarion Hotel in the west, with the Royal Road in the middle, which leads to the Madeleine Church in the north. In addition, the US Embassy in France is located at the northwest corner of the square, at the intersection of Avenue Gabriel and RueBoissyd'Anglas. The northeast corner of Place de la Concorde is the western end of Rue de Rivoli. The monuments, sculptures and fountains in the Egyptian Obelisk Square are also not to be missed. In the center of the square stands an Egyptian obelisk with a height of 23 meters. In 1998 the French government added a golden pyramid spire to the obelisk. There are also two magnificent fountains and some ornate monuments at both ends of the Monument and Fountain Square. The monument is decorated with the prow of a boat, a symbol of the city of Paris. On the north side of the square is the River God Fountain (LaFontainedesFleuves), and on the south side of the square is the Neptune Fountain (LaFontainedesMers). The two fountains deliberately reflect the superb navigation and river navigation technology of France at that time. There is a three-layer fountain on each side of the fountain. There are 6 exquisite bronze sculptures of mermaids on the fountain, each holding a fish in his hand, and spraying several meters high from the fish mouth. water column, water splash. In addition, there are eight statues representing eight cities in 19th century France on all sides of the square, Rouen and Brest in the northwest, Lille and Strasbourg in the northeast, Bordeaux and Nantes in the southwest, and Nantes in the southeast. Marseille and Lyon. Concorde Square, where the blockbuster was filmed, was also the location for many Hollywood fashion blockbusters. There is a small Ferris wheel on one side of the square, which will be moved to the square every winter for tourists to ride. In addition, there are many soldiers on horseback in the square, who are very friendly and willing to help tourists. If they are not busy, they can ask for a photo.",None Related,place de la concorde one famous squares beautiful squares france french revolution louis xvi queen mary executed geographical location place de la concorde octagon surrounded moat seine river south palais bourbon seat french national assembly left bank connected concorde bridge river east louvre tuileries garden used royal palace france burned paris commune tennis courts modern art gallery orangery art gallery garden west square eastern starting point leads directly place charles de gaulle arc de triomphe paris located north square two buildings style french admiralty east clarion hotel west royal road middle leads madeleine church north addition us embassy france located northwest corner square intersection avenue gabriel northeast corner place de la concorde western end rue de rivoli monuments sculptures fountains egyptian obelisk square also missed center square stands egyptian obelisk height 23 meters 1998 french government added golden pyramid spire obelisk also two magnificent fountains ornate monuments ends monument fountain square monument decorated prow boat symbol city paris north side square river god fountain lafontainedesfleuves south side square neptune fountain lafontainedesmers two fountains deliberately reflect superb navigation river navigation technology france time fountain side fountain 6 exquisite bronze sculptures mermaids fountain holding fish hand spraying several meters high fish mouth water column water splash addition eight statues representing eight cities 19th century france sides square rouen brest northwest lille strasbourg northeast bordeaux nantes southwest nantes southeast marseille lyon concorde square blockbuster filmed also location many hollywood fashion blockbusters small ferris wheel one side square moved square every winter tourists ride addition many soldiers horseback square friendly willing help tourists busy ask photo
765,Plaka,"Plaka is a historic part of Athens, where most of the streets are no longer open to cars, but become a pedestrian area for shopping and leisure. Plaka is now a place where restaurants, tourist souvenir shops and coffee shops gather, and it is also a must-see for people visiting Greece. There are many remnants of 19th-century streets and interlinked alleys in the Plaka district, which is located below the hill of the Acropolis. Close to Temple of Olympian Zeus, Acropolis Museum and Syntagma Square. The core area consists of Kydatheneon Street running east-west and Adrianou Street running north-south. Kydatheneon starts on Nikis Road just one block from Syntagma Square. Adrianou Street begins with the Monastiraki flea market. Although Plaka has undergone large-scale commercial changes, it is still a residential area, where tourists can experience the national customs of Greece and see the real living conditions of the locals. Here, in addition to restaurants where you can taste local specialties, there are cafes where you can sit down and rest for a while when you are tired from walking. Most Greeks like to sit in an open-air restaurant or coffee shop to eat, and you can follow their example and sit down and watch the people around you of all colors coming and going. In addition to food and shopping, Plaka is a street performer's paradise. There are little girls selling flowers, wandering singers, street photographers, sculptors who can engrave your Greek name on beans or rice for two euros, all kinds of people, all kinds of strange art forms, to satisfy your needs Visual enjoyment. In addition, Plaka at night is not to be missed. The bars here are very lively in the evening. It is recommended that if you have time to go to the bar for a drink at night, experience the nightlife here.",None Related,plaka historic part athens streets longer open cars become pedestrian area shopping leisure plaka place restaurants tourist souvenir shops coffee shops gather also people visiting greece many remnants streets interlinked alleys plaka district located hill acropolis close temple olympian zeus acropolis museum syntagma square core area consists kydatheneon street running adrianou street running kydatheneon starts nikis road one block syntagma square adrianou street begins monastiraki flea market although plaka undergone commercial changes still residential area tourists experience national customs greece see real living conditions locals addition restaurants taste local specialties cafes sit rest tired walking greeks like sit restaurant coffee shop eat follow example sit watch people around colors coming going addition food shopping plaka street performer paradise little girls selling flowers wandering singers street photographers sculptors engrave greek name beans rice two euros kinds people kinds strange art forms satisfy needs visual enjoyment addition plaka night missed bars lively evening recommended time go bar drink night experience nightlife
766,Plaka,"Plaka is a historic part of Athens, where most of the streets are no longer open to cars, but become a pedestrian area for shopping and leisure. Plaka is now a place where restaurants, tourist souvenir shops and coffee shops gather, and it is also a must-see for people visiting Greece. There are many remnants of 19th-century streets and interlinked alleys in the Plaka district, which is located below the hill of the Acropolis. Close to Temple of Olympian Zeus, Acropolis Museum and Syntagma Square. The core area consists of Kydatheneon Street running east-west and Adrianou Street running north-south. Kydatheneon starts on Nikis Road just one block from Syntagma Square. Adrianou Street begins with the Monastiraki flea market. Although Plaka has undergone large-scale commercial changes, it is still a residential area, where tourists can experience the national customs of Greece and see the real living conditions of the locals. Here, in addition to restaurants where you can taste local specialties, there are cafes where you can sit down and rest for a while when you are tired from walking. Most Greeks like to sit in an open-air restaurant or coffee shop to eat, and you can follow their example and sit down and watch the people around you of all colors coming and going. In addition to food and shopping, Plaka is a street performer's paradise. There are little girls selling flowers, wandering singers, street photographers, sculptors who can engrave your Greek name on beans or rice for two euros, all kinds of people, all kinds of strange art forms, to satisfy your needs Visual enjoyment. In addition, Plaka at night is not to be missed. The bars here are very lively in the evening. It is recommended that if you have time to go to the bar for a drink at night, experience the nightlife here.",None Related,plaka historic part athens streets longer open cars become pedestrian area shopping leisure plaka place restaurants tourist souvenir shops coffee shops gather also people visiting greece many remnants streets interlinked alleys plaka district located hill acropolis close temple olympian zeus acropolis museum syntagma square core area consists kydatheneon street running adrianou street running kydatheneon starts nikis road one block syntagma square adrianou street begins monastiraki flea market although plaka undergone commercial changes still residential area tourists experience national customs greece see real living conditions locals addition restaurants taste local specialties cafes sit rest tired walking greeks like sit restaurant coffee shop eat follow example sit watch people around colors coming going addition food shopping plaka street performer paradise little girls selling flowers wandering singers street photographers sculptors engrave greek name beans rice two euros kinds people kinds strange art forms satisfy needs visual enjoyment addition plaka night missed bars lively evening recommended time go bar drink night experience nightlife
767,Planet,"PlanetLabs specializes in using space and satellite technology to improve the productivity of some of the most crucial industries on Earth. The company offers a variety of products to bolster capabilities like planetary mapping, monitoring, archiving and analytic tracking. Its products provide a clearer understanding of how to accomplish tasks in the agriculture, energy, government, finance and education industries",aerospace,planetlabs specializes using space satellite technology improve productivity crucial industries earth company offers variety products bolster capabilities like planetary mapping monitoring archiving analytic tracking products provide clearer understanding accomplish tasks agriculture energy government finance education industries
768,Plaza de Armas,"Lima's Plaza de Armas, also known as the central square, is the birthplace and core of Lima and also the spiritual and cultural center of Lima. palace. The older part is the bronze fountain in the center of the square, built in the 17th century. There is a Spanish colonial building on the square.",None Related,lima plaza de armas also known central square birthplace core lima also spiritual cultural center lima palace older part bronze fountain center square built 17th century spanish colonial building square
769,Plaza de Mayo,"The Plaza de Mayo was born in the same year as the city of Buenos Aires and was built in 1580. The predecessor of Plaza de Mayo was ""Plaza de la Grande"" or ""Plaza of Victory"", which recorded various historical and political periods and movements in Argentina for hundreds of years. The square is named after the ""May Revolution"", the independence struggle launched by the Argentine people against Spanish colonial rule in May 1810. Plaza de Mayo is a symbol of Argentina, which has witnessed the independence of the Argentine Republic and the development of the city. It has attracted many domestic and foreign tourists with its unique charm over the years. On weekends, various related civil activities are often held in the square, such as memorial day parades, disaster fundraising and art activities.",None Related,plaza de mayo born year city buenos aires built predecessor plaza de mayo plaza de la grande plaza victory recorded various historical political periods movements argentina hundreds years square named may revolution independence struggle launched argentine people spanish colonial rule may plaza de mayo symbol argentina witnessed independence argentine republic development city attracted many domestic foreign tourists unique charm years weekends various related civil activities often held square memorial day parades disaster fundraising art activities
770,Polynesian Spa,"When you come to the ""hot spring town"" Rotorua, soaking in hot springs is an essential good program. Because Rotorua is located in a geothermal area with strong volcanic activity, the city is full of hot springs, and the air of the whole city is filled with a good and charming sulfur smell. Rotorua is a wonderful natural tourism in the whole South Pacific region. resort. Overlooking Lake Rotorua, relaxing in thermal mineral hot springs and setting your sights on the serene but not-so-quiet volcano in the distance! A mist on the lake envelopes you, and you often suspect that you are in a dream world. Polynesian Hot Springs, located on the shores of Lake Rotorua, is one of the top ten hot springs in the world. For 130 years, people have come here to try the thermal mineral spa. Two hot springs fill 26 hot springs: Priest's acidic hot spring is amazing for improving muscle fatigue and relieving pain; and Rachel's alkaline hot spring, thanks to the antibacterial effect of sodium silicic acid, is almost unsatisfactory after washing. Confident smooth skin, people here believe that Rachel hot spring water is the secret of eternal youth. If you don't want to soak in the hot springs in a swimsuit, rent a private pool and soak it naked without fear!",None Related,come hot spring town rotorua soaking hot springs essential good program rotorua located geothermal area strong volcanic activity city full hot springs air whole city filled good charming sulfur smell rotorua wonderful natural tourism whole south pacific region resort overlooking lake rotorua relaxing thermal mineral hot springs setting sights serene volcano distance mist lake envelopes often suspect dream world polynesian hot springs located shores lake rotorua one top ten hot springs world 130 years people come try thermal mineral spa two hot springs fill 26 hot springs priest acidic hot spring amazing improving muscle fatigue relieving pain rachel alkaline hot spring thanks antibacterial effect sodium silicic acid almost unsatisfactory washing confident smooth skin people believe rachel hot spring water secret eternal youth want soak hot springs swimsuit rent private pool soak naked without fear
771,Pom Pom Island,"Pom Pom Island is adjacent to Sipadan Island, a diving resort, about 40 minutes by boat from Semporna Pier. It is a peaceful paradise island. The island is famous for its turtles, and guests can join the resort staff on a nightly hunt for turtle eggs and baby turtles. If you are lucky, you can also spot large turtles while snorkeling on the shore during the day. Resorts on the island provide a variety of options such as beach houses, water houses and flower houses, and tourists can book according to their preferences.",None Related,pom pom island adjacent sipadan island diving resort 40 minutes boat semporna pier peaceful paradise island island famous turtles guests join resort staff nightly hunt turtle eggs baby turtles lucky also spot large turtles snorkeling shore day resorts island provide variety options beach houses water houses flower houses tourists book according preferences
772,Pomeranian Science and Technology Park,"Hub of business and scientific organizations. On the one hand, it is the seat of park companies, on the other a thriving business center. The Park's mission is to actively support and create conditions for the development of initiatives and projects based on high technologies and innovation. It is also a place for meetings and exchange of thoughts for entrepreneurs, designers, scientists and enthusiasts",biotechnology,hub business scientific organizations one hand seat park companies thriving business center park mission actively support create conditions development initiatives projects based high technologies innovation also place meetings exchange thoughts entrepreneurs designers scientists enthusiasts
773,Pompeii Archaeological Park,"The ancient city of Pompeii is located near Naples in southern Italy. It used to be a small and medium-sized town facing the sea and mountains. It was destroyed by the eruption of Mount Vesuvius in the northwest. The town streets and houses were buried by volcanic ash, but the life scenes of the Pompeii people more than 2,000 years ago were completely preserved. Later, this huge site was gradually excavated. Although the ancient city of Pompeii is very famous, what you can see now is some broken walls. In addition to various architectural remains, there are also some shocking cast statues. The people who died in the eruption of the volcano were covered in volcanic ash and their bodies decayed to the point where only empty shells were left. Archaeology injected these empty shells into plaster and made them into cast statues to show the world the tragic conditions of Pompeii at that time. Pompeii is very big. In addition to visiting the ruins of the ancient city that are fenced as attractions, you can also visit the nearby Pompeii New City, so a day trip is a more common way to visit. Going to Pompeii, most of them stop in Naples. There are three entrances to the ruins of the ancient city, namely PortaMarina, PiazzaEsedra, and PiazzaAnfiteatro. The PortaMarina at the southwest end is the main ticket gate, and most tourists enter from here. You can rent an audio guide for 6.5 euros. Entering from the entrance of PortaMarina, you can see the Temple of Venus (Tempio di Venere) on the right, which used to be one of the most incense temples here. Continuing on, there is a rectangular column hall with some carvings and frescoes remaining. Opposite is the Temple of Apollo (Tempio di Apollo), an ancient religious building in Pompeii. Next to it is the main square of the city, which is now covered with grass. You can look at the huge limestone pillar that stands, carved with free traffic, as if telling the past here. On the north side of the square is the Temple of Jupiter (Tempio di Giove), and the Arc de Triomphe remains on both sides. There is a barn nearby and hundreds of crocks and plaster can be seen. A little further east, in the middle of a narrow alley is Lupanare. This small two-story building has been restored, and when you walk in, you can see the colorful murals on the wall. Go south from the side street to the end and you will see the TeatroGrande and TeatroPiccolo theatres, and there is a temple nearby. Go north from the temple and walk along the street. At the intersection, you can see Terme Stabiane, which is backed by the street. It used to be a bathhouse. You will find how much the ancient Romans loved bathing. From this intersection to the east street for about 450 meters, there is the Venus Maria House (Casadella Venere in Conchiglia), which has a small garden surrounded by colonnades, and you can still see the beautiful murals of the goddess Venus. A little further east to the corner of the ancient city, you will see the grassy Anfiteatro, this is the existing ancient Roman amphitheatre, which can accommodate 20,000 spectators. You can climb to the upper row to take a panoramic view of it, although Only the ruins are left, but it is still very imposing. Next, you can visit the northwest corner of the ancient city, where there is the Casa del Fauno, which was once the private mansion of Pompeii. There is also the House of Tragic Poets (Casa del Poeta Tragico), in which you can see relief frescoes depicting the theater. In addition, Casadei Vettii is also very interesting. The erotic pictures at the entrance are very famous. In fact, they were used to ward off evil spirits at that time. There are also many mysterious and exquisite murals on the living room walls, depicting being entangled by giant snakes. It is said that the colors of these paintings cannot be reproduced even with current technology. Take the exit at the northwest corner and continue walking, you will pass a villa, turn right to another villa called Villadei Misteri, which is one of the intact buildings in Pompeii. Walk in and take a look. On the wall of the large dining room is a huge mural ""Dionysiac Frieze"", which describes the ceremony of worshipping the god of wine by a girl who was about to get married at that time. There is a Vesuvius Museum (Museo Vesuviano) in the southeast outside the ancient city ruins. On ViaColleSanBartolomeo Street, you can visit for free and see many interesting unearthed cultural relics. It is open Monday-Friday 9:00-13:00.",None Related,ancient city pompeii located near naples southern italy used small town facing sea mountains destroyed eruption mount vesuvius northwest town streets houses buried volcanic ash life scenes pompeii people years ago completely preserved later huge site gradually excavated although ancient city pompeii famous see broken walls addition various architectural remains also shocking cast statues people died eruption volcano covered volcanic ash bodies decayed point empty shells left archaeology injected empty shells plaster made cast statues show world tragic conditions pompeii time pompeii big addition visiting ruins ancient city fenced attractions also visit nearby pompeii new city day trip common way visit going pompeii stop naples three entrances ruins ancient city namely portamarina piazzaesedra piazzaanfiteatro portamarina southwest end main ticket gate tourists enter rent audio guide euros entering entrance portamarina see temple venus tempio di venere right used one incense temples continuing rectangular column hall carvings frescoes remaining opposite temple apollo tempio di apollo ancient religious building pompeii next main square city covered grass look huge limestone pillar stands carved free traffic telling past north side square temple jupiter tempio di giove arc de triomphe remains sides barn nearby hundreds crocks plaster seen little east middle narrow alley lupanare small building restored walk see colorful murals wall go south side street end see teatrogrande teatropiccolo theatres temple nearby go north temple walk along street intersection see terme stabiane backed street used bathhouse find much ancient romans loved bathing intersection east street 450 meters venus maria house casadella venere conchiglia small garden surrounded colonnades still see beautiful murals goddess venus little east corner ancient city see grassy anfiteatro existing ancient roman amphitheatre accommodate spectators climb upper row take panoramic view although ruins left still imposing next visit northwest corner ancient city casa del fauno private mansion pompeii also house tragic poets casa del poeta tragico see relief frescoes depicting theater addition casadei vettii also interesting erotic pictures entrance famous fact used ward evil spirits time also many mysterious exquisite murals living room walls depicting entangled giant snakes said colors paintings reproduced even current technology take exit northwest corner continue walking pass villa turn right another villa called villadei misteri one intact buildings pompeii walk take look wall large dining room huge mural dionysiac frieze describes ceremony worshipping god wine girl get married time vesuvius museum museo vesuviano southeast outside ancient city ruins viacollesanbartolomeo street visit free see many interesting unearthed cultural relics open
